Temporada,Torneo,Columna_3,Columna_4,Columna_5,Columna_6,Columna_7
2019-2020,Clausura,1º,Sandra Stephany Mayor,Tigres,6,270
2019-2020,Clausura,1º,Claudia Fabiola Ibarra,Atlas,6,898
2019-2020,Clausura,1º,Mónica Desiree Monsiváis,Rayadas,6,648
2019-2020,Clausura,1º,Esbeydi Viridiana Salazar,Pachuca,6,688
2019-2020,Clausura,5º,Katty Martínez,Tigres,5,551
2019-2020,Clausura,6º,Yashira Yuleth Barrientos,Guadalajara,5,526
2019-2020,Clausura,7º,Marlyn Margoth Campa,América,5,558
2019-2020,Clausura,8º,Diana Laura García,León,5,717
2019-2020,Clausura,9º,Renae Nicole Cuéllar,Tijuana,5,351
2019-2020,Clausura,10º,Ana Paola López,Pachuca,4,732
2019-2020,Clausura,11º,Claudia Fernanda Cid,León,4,720
2019-2020,Clausura,12º,Lizette Montserrat Rodríguez,M. Morelia,4,250
2019-2020,Clausura,13º,Dulce Maria Alvarado,Necaxa,4,810
2019-2020,Clausura,14º,Daniela Carrandi,Atlético de San Luis,4,752
2019-2020,Clausura,15º,Mariel Román,Toluca,4,405
2019-2020,Clausura,16º,Atzimba Casas,FC Juárez,4,700
2019-2020,Clausura,17º,Lizbeth Jacqueline Ovalle,Tigres,3,241
2019-2020,Clausura,18º,Alison Hecnary González,Atlas,3,450
2019-2020,Clausura,19º,Kristal Rubi Soto,Guadalajara,3,864
2019-2020,Clausura,20º,Jana Alexandra Gutiérrez,América,3,312
2019-2020,Clausura,21º,Blanky Denisse Serrano,Pachuca,3,326
2019-2020,Clausura,22º,Sanjuana De Jesús Muñoz,León,3,795
2019-2020,Clausura,23º,Susana Romero,Cruz Azul,3,779
2019-2020,Clausura,24º,Daniela Itzaxaya García,Pumas,3,766
2019-2020,Clausura,25º,Lucero Ximena Cuevas,Tijuana,3,630
2019-2020,Clausura,26º,Liliana Hernández,M. Morelia,3,847
2019-2020,Clausura,27º,Teresa Guadalupe Worbis,Puebla,3,797
2019-2020,Clausura,28º,Cinthya Peraza,Santos Laguna,3,777
2019-2020,Clausura,29º,Miah Alexia Zuazua,Tigres,2,236
2019-2020,Clausura,30º,Belén De Jesús Cruz,Tigres,2,609
2019-2020,Clausura,31º,Adriana Iturbide,Atlas,2,447
2019-2020,Clausura,32º,Tania Paola Morales,Guadalajara,2,562
2019-2020,Clausura,33º,Miriam Vanessa García,Guadalajara,2,720
2019-2020,Clausura,34º,Evelyn Teresa González,Guadalajara,2,795
2019-2020,Clausura,35º,Daniela Lizbeth Solís,Rayadas,2,558
2019-2020,Clausura,36º,Destinney Rosalía Duron,América,2,325
2019-2020,Clausura,37º,Estefanía Fuentes,América,2,604
2019-2020,Clausura,38º,Yamile Azenek Franco,León,2,699
