Temporada,Torneo,Columna_3,Columna_4,Columna_5,Columna_6,Columna_7
2023-2024,Apertura,1º,Maricarmen Reyes,Tigres,15,1189
2023-2024,Apertura,1º,Alicia Cervantes,Guadalajara,15,1398
2023-2024,Apertura,3º,Verónica Charlyn Corral,Pachuca,13,1440
2023-2024,Apertura,4º,Lizbeth Jacqueline Ovalle,Tigres,11,1186
2023-2024,Apertura,5º,Kiana Angélica Palacios,América,11,858
2023-2024,Apertura,6º,Katty Martínez,América,10,1082
2023-2024,Apertura,7º,Andrea Pereira,América,10,1098
2023-2024,Apertura,8º,Christina Marie Burkenroad,Rayadas,10,982
2023-2024,Apertura,9º,Mónica Desiree Monsiváis,Pumas,9,931
2023-2024,Apertura,10º,Adriana Iturbide,Guadalajara,8,1207
2023-2024,Apertura,11º,Jasmine Alexis Casarez,FC Juárez,8,1025
2023-2024,Apertura,12º,Yashira Yuleth Barrientos,León,8,1277
2023-2024,Apertura,13º,Erica Gomes Da Silva Santos,Cruz Azul,8,1020
2023-2024,Apertura,14º,Aisha Keshy Solórzano,Puebla,8,927
2023-2024,Apertura,15º,Alison Hecnary González,América,7,1003
2023-2024,Apertura,16º,Mariel Román,Toluca,7,1257
2023-2024,Apertura,17º,Aerial Lynndonna Chavarin,Pumas,7,1080
2023-2024,Apertura,18º,Sayuri Yuki Watari,FC Juárez,7,1088
2023-2024,Apertura,19º,Myra Alexandra Delgadillo,Rayadas,6,959
2023-2024,Apertura,20º,Mayra Alejandra Pelayo-bernal,Tijuana,6,1322
2023-2024,Apertura,21º,Sanjuana De Jesús Muñoz,Tijuana,6,1449
2023-2024,Apertura,22º,Daniela Espinosa,Tijuana,6,1502
2023-2024,Apertura,23º,Edna Fabiola Santamaria,Querétaro,6,1425
2023-2024,Apertura,24º,Lydia Nayeli Rangel,Tigres,5,788
2023-2024,Apertura,25º,Belén De Jesús Cruz,Tigres,5,885
2023-2024,Apertura,26º,Sarah Jacquelyn Luebbert,América,5,657
2023-2024,Apertura,27º,Carlee Rose Giammona,Rayadas,5,971
2023-2024,Apertura,28º,Marta Alexandra Cox Villarreal,Pachuca,5,915
2023-2024,Apertura,29º,Alice Fernanda Soto,Pachuca,5,1020
2023-2024,Apertura,30º,Stephanie Mariana Ribeiro,Pumas,5,452
2023-2024,Apertura,31º,Claudia Fabiola Ibarra,Atlas,5,1496
2023-2024,Apertura,32º,Savianna Gomez,Puebla,5,763
2023-2024,Apertura,33º,Sandra Stephany Mayor,Tigres,4,1042
2023-2024,Apertura,34º,Greta Alejandra Espinoza,Tigres,4,1318
2023-2024,Apertura,35º,Betzy Casandra Cuevas,América,4,485
2023-2024,Apertura,36º,Gabriela Valenzuela,Guadalajara,4,889
2023-2024,Apertura,37º,Christian Carolina Jaramillo,Guadalajara,4,1481
2023-2024,Apertura,38º,Chinwendu Verónica Ihezuo,Rayadas,4,724
2023-2024,Apertura,39º,Angelina Nicole Hix,Tijuana,4,786
2023-2024,Apertura,40º,Brenda Woch Da Graca,Toluca,4,1053
2023-2024,Apertura,41º,Cinthya Peraza,Toluca,4,1350
2023-2024,Apertura,42º,Priscila Chinchilla,Pachuca,4,676
2023-2024,Apertura,43º,Esbeydi Viridiana Salazar,Pachuca,4,915
2023-2024,Apertura,44º,Marylin Viridiana Díaz,Pumas,4,1020
2023-2024,Apertura,45º,Prisca Chilufya,FC Juárez,4,1086
2023-2024,Apertura,46º,Daniela Calderón,León,4,811
2023-2024,Apertura,47º,Maria Aparecida Souza,León,4,883
2023-2024,Apertura,48º,Magaly Cortés,Querétaro,4,625
2023-2024,Apertura,49º,Brenda Damaris Ceren,Atlas,4,1304
2023-2024,Apertura,50º,Aylin Ariana Aviléz,América,3,622
2023-2024,Apertura,51º,María Natalia Mauleon,América,3,952
2023-2024,Apertura,52º,Karen Irasema Luna,América,3,988
2023-2024,Apertura,53º,Jocelyn Marie Orejel,América,3,1041
2023-2024,Apertura,54º,Kristal Rubi Soto,Guadalajara,3,957
2023-2024,Apertura,55º,Diana Laura García,Rayadas,3,718
2023-2024,Apertura,56º,Jermaine Seoposenwe,Rayadas,3,723
2023-2024,Apertura,57º,Rebeca Bernal,Rayadas,3,1035
2023-2024,Apertura,58º,Daphne Melissa Herrera,Tijuana,3,567
2023-2024,Apertura,59º,Mónica Rose Alvarado,Tijuana,3,1048
2023-2024,Apertura,60º,Bianca Esther Mora,Tijuana,3,1275
2023-2024,Apertura,61º,Jennifer Hermoso,Pachuca,3,463
2023-2024,Apertura,62º,Vanessa Beatriz Millsaps,Pachuca,3,1161
2023-2024,Apertura,63º,Catalina Estrada,Cruz Azul,3,445
2023-2024,Apertura,64º,Norma Luz Irene Duarte,Cruz Azul,3,1041
2023-2024,Apertura,65º,María Paula Salas,Atlas,3,564
2023-2024,Apertura,66º,Karla Patricia Morales,Puebla,3,1382
2023-2024,Apertura,67º,Julissa Fernanda Dávila,Atlético de San Luis,3,1432
2023-2024,Apertura,68º,Joseline Andrea Hernández,Necaxa,3,1237
