Temporada,Torneo,Columna_3,Columna_4,Columna_5,Columna_6,Columna_7,Columna_8,Columna_9,Columna_10,Columna_11,Columna_12,Columna_13
2024-2025,Apertura,"Jueves 4 de Julio de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 1
4 Julio 2024 - 17:00 hrs.",,0 - 5,,Victoria,,,,,,
2024-2025,Apertura,"Jueves 4 de Julio de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 1
4 Julio 2024 - 21:06 hrs.",,0 - 1,,Olímpico Benito Juárez,,,,,,
2024-2025,Apertura,"Viernes 5 de Julio de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 1
5 Julio 2024 - 17:00 hrs.",,2 - 0,,Olímpico Universitario,,,,,,
2024-2025,Apertura,"Sábado 6 de Julio de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 1
6 Julio 2024 - 19:00 hrs.",,0 - 2,,TSM Corona,,,,,,
2024-2025,Apertura,"Domingo 7 de Julio de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 1
7 Julio 2024 - 12:00 hrs.",,0 - 1,,Cuauhtémoc,,,,,,
2024-2025,Apertura,"Domingo 7 de Julio de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 1
7 Julio 2024 - 12:00 hrs.",,2 - 1,,INSTALACIONES LA NORIA,,,,,,
2024-2025,Apertura,"Domingo 7 de Julio de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 1
7 Julio 2024 - 17:00 hrs.",,1 - 0,,Estadio Olímpico Alameda,,,,,,
2024-2025,Apertura,"Domingo 7 de Julio de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 1
7 Julio 2024 - 17:00 hrs.",,1 - 0,,Alfonso Lastras Ramírez,,,,,,
2024-2025,Apertura,"Domingo 7 de Julio de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 1
7 Julio 2024 - 19:00 hrs.",,1 - 3,,Jalisco,,,,,,
2024-2025,Apertura,"Viernes 19 de Julio de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 2
19 Julio 2024 - 17:00 hrs.",,1 - 2,,Nemesio Diez,,,,,,
2024-2025,Apertura,"Viernes 19 de Julio de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 15
19 Julio 2024 - 17:00 hrs.",,1 - 0,,Nou Camp,,,,,,
2024-2025,Apertura,"Viernes 19 de Julio de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 2
19 Julio 2024 - 19:00 hrs.",,0 - 0,,TSM Corona,,,,,,
2024-2025,Apertura,"Sábado 20 de Julio de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 2
20 Julio 2024 - 18:00 hrs.",,1 - 5,,El Encanto,,,,,,
2024-2025,Apertura,"Lunes 22 de Julio de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 2
22 Julio 2024 - 19:00 hrs.",,3 - 0,,Universitario,,,,,,
2024-2025,Apertura,"Lunes 22 de Julio de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 2
22 Julio 2024 - 21:06 hrs.",,3 - 1,,Hidalgo,,,,,,
2024-2025,Apertura,"Martes 23 de Julio de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 2
23 Julio 2024 - 19:00 hrs.",,5 - 0,,Estadio BBVA,,,,,,
2024-2025,Apertura,"Miércoles 24 de Julio de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 2
24 Julio 2024 - 20:06 hrs.",,3 - 0,,Caliente,,,,,,
2024-2025,Apertura,"Viernes 26 de Julio de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 3
26 Julio 2024 - 17:00 hrs.",,3 - 2,,Olímpico Universitario,,,,,,
2024-2025,Apertura,"Domingo 28 de Julio de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 13
28 Julio 2024 - 15:45 hrs.",,0 - 0,,INSTALACIONES LA NORIA,,,,,,
2024-2025,Apertura,"Domingo 28 de Julio de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 3
28 Julio 2024 - 17:00 hrs.",,1 - 1,,Estadio Olímpico Alameda,,,,,,
2024-2025,Apertura,"Domingo 28 de Julio de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 14
28 Julio 2024 - 18:00 hrs.",,1 - 0,,Victoria,,,,,,
2024-2025,Apertura,"Domingo 28 de Julio de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 3
28 Julio 2024 - 19:06 hrs.",,0 - 0,,Nou Camp,,,,,,
2024-2025,Apertura,"Lunes 29 de Julio de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 3
29 Julio 2024 - 18:00 hrs.",,2 - 2,,Ciudad De Los Deportes,,,,,,
2024-2025,Apertura,"Jueves 1 de Agosto de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 4
1 Agosto 2024 - 19:00 hrs.",,0 - 0,,Jalisco,,,,,,
2024-2025,Apertura,"Sábado 3 de Agosto de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 4
3 Agosto 2024 - 17:00 hrs.",,1 - 2,,Alfonso Lastras Ramírez,,,,,,
2024-2025,Apertura,"Sábado 3 de Agosto de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 4
3 Agosto 2024 - 21:06 hrs.",,3 - 1,,Olímpico Benito Juárez,,,,,,
2024-2025,Apertura,"Lunes 5 de Agosto de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 4
5 Agosto 2024 - 15:45 hrs.",,0 - 4,,INSTALACIONES LA NORIA,,,,,,
2024-2025,Apertura,"Lunes 5 de Agosto de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 4
5 Agosto 2024 - 18:00 hrs.",,0 - 4,,Victoria,,,,,,
2024-2025,Apertura,"Martes 6 de Agosto de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 4
6 Agosto 2024 - 17:00 hrs.",,2 - 4,,Nemesio Diez,,,,,,
2024-2025,Apertura,"Martes 6 de Agosto de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 4
6 Agosto 2024 - 17:00 hrs.",,0 - 1,,Cuauhtémoc,,,,,,
2024-2025,Apertura,"Martes 6 de Agosto de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 4
6 Agosto 2024 - 19:06 hrs.",,0 - 4,,Estadio Olímpico Alameda,,,,,,
2024-2025,Apertura,"Viernes 9 de Agosto de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 5
9 Agosto 2024 - 17:00 hrs.",,1 - 0,,Nou Camp,,,,,,
2024-2025,Apertura,"Viernes 9 de Agosto de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 5
9 Agosto 2024 - 19:00 hrs.",,0 - 2,,Olímpico Universitario,,,,,,
2024-2025,Apertura,"Viernes 9 de Agosto de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 5
9 Agosto 2024 - 20:06 hrs.",,0 - 6,,El Encanto,,,,,,
2024-2025,Apertura,"Sábado 10 de Agosto de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 5
10 Agosto 2024 - 19:00 hrs.",,0 - 3,,TSM Corona,,,,,,
