Temporada,Torneo,Columna_3,Columna_4,Columna_5,Columna_6,Columna_7,Columna_8,Columna_9,Columna_10,Columna_11,Columna_12,Columna_13
2024-2025,Clausura,"Viernes 3 de Enero de 2025
Temporada 2024-2025
Torneo Clausura
Jornada 1
3 Enero 2025 - 19:00 hrs.",,1 - 3,,Jalisco,,,,,,
2024-2025,Clausura,"Sábado 4 de Enero de 2025
Temporada 2024-2025
Torneo Clausura
Jornada 1
4 Enero 2025 - 12:00 hrs.",,2 - 0,,Olímpico Universitario,,,,,,
2024-2025,Clausura,"Domingo 5 de Enero de 2025
Temporada 2024-2025
Torneo Clausura
Jornada 1
5 Enero 2025 - 19:00 hrs.",,1 - 1,,Nou Camp,,,,,,
2024-2025,Clausura,"Domingo 5 de Enero de 2025
Temporada 2024-2025
Torneo Clausura
Jornada 1
5 Enero 2025 - 20:06 hrs.",,0 - 7,,El Encanto,,,,,,
2024-2025,Clausura,"Lunes 6 de Enero de 2025
Temporada 2024-2025
Torneo Clausura
Jornada 1
6 Enero 2025 - 17:00 hrs.",,0 - 3,,Victoria,,,,,,
2024-2025,Clausura,"Lunes 6 de Enero de 2025
Temporada 2024-2025
Torneo Clausura
Jornada 1
6 Enero 2025 - 17:00 hrs.",,1 - 7,,La Corregidora,,,,,,
2024-2025,Clausura,"Lunes 6 de Enero de 2025
Temporada 2024-2025
Torneo Clausura
Jornada 1
6 Enero 2025 - 18:00 hrs.",,3 - 0,,Olímpico Benito Juárez,,,,,,
2024-2025,Clausura,"Lunes 6 de Enero de 2025
Temporada 2024-2025
Torneo Clausura
Jornada 1
6 Enero 2025 - 19:10 hrs.",,2 - 1,,Ciudad De Los Deportes,,,,,,
2024-2025,Clausura,"Lunes 6 de Enero de 2025
Temporada 2024-2025
Torneo Clausura
Jornada 1
6 Enero 2025 - 21:06 hrs.",,1 - 2,,Universitario,,,,,,
2024-2025,Clausura,"Jueves 9 de Enero de 2025
Temporada 2024-2025
Torneo Clausura
Jornada 2
9 Enero 2025 - 17:00 hrs.",,5 - 0,,Nemesio Diez,,,,,,
2024-2025,Clausura,"Jueves 9 de Enero de 2025
Temporada 2024-2025
Torneo Clausura
Jornada 2
9 Enero 2025 - 19:00 hrs.",,2 - 3,,Jalisco,,,,,,
2024-2025,Clausura,"Jueves 9 de Enero de 2025
Temporada 2024-2025
Torneo Clausura
Jornada 2
9 Enero 2025 - 21:00 hrs.",,2 - 1,,Estadio BBVA,,,,,,
