0,1,2,3,4,5,6,7,8
,America,18,18,0,0,1,3,21
,Rayadas,22,22,1,3,0,0,25
,Atlas,23,23,1,3,0,0,26
,Cruz Azul,17,17,2,6,1,3,26
,Guadalajara,29,29,0,0,0,0,29
,Tigres,28,28,0,0,1,3,31
,Pumas,29,29,1,3,0,0,32
,Santos Laguna,29,29,1,3,0,0,32
,Tijuana,30,30,0,0,1,3,33
,FC Juarez,26,26,2,6,1,3,35
,Atletico de San Luis,36,36,0,0,0,0,36
,Mazatlan FC,27,27,2,6,1,3,36
,Queretaro,34,34,1,3,0,0,37
,Puebla,32,32,2,6,0,0,38
,Leon,32,32,2,6,1,3,41
,Pachuca,40,40,0,0,1,3,43
,Toluca,35,35,1,3,2,6,44
,Necaxa,38,38,0,0,3,9,47
