Club,Total Tarjetas,Porcentaje por Club,Promedio por Minutos,Promedio por Partido
Cruz Azul,3,12.00%,510.00,0.18
FC Juarez,3,12.00%,510.00,0.18
Mazatlan FC,3,12.00%,510.00,0.18
Leon,2,8.00%,765.00,0.12
Necaxa,2,8.00%,765.00,0.12
Puebla,2,8.00%,765.00,0.12
America,1,4.00%,1530.00,0.06
Atlas,1,4.00%,1530.00,0.06
Pachuca,1,4.00%,1530.00,0.06
Pumas,1,4.00%,1530.00,0.06
Queretaro,1,4.00%,1530.00,0.06
Rayadas,1,4.00%,1530.00,0.06
Santos Laguna,1,4.00%,1530.00,0.06
Tigres,1,4.00%,1530.00,0.06
Tijuana,1,4.00%,1530.00,0.06
Toluca,1,4.00%,1530.00,0.06
