0,1,2,3,4,5,6,7,8
Necaxa,7,5209,0,0,7,5209,3060,Cumplió
Santos Laguna,8,4382,0,0,8,4382,3015,Cumplió
Club Atlético de San Luis,9,3499,1,174,9,3673,3003,Cumplió
Atlas,10,2581,3,785,10,3366,2932,Cumplió
León,5,2066,2,951,5,3017,2839,Cumplió
Universidad Nacional,6,2409,1,448,6,2857,2720,Cumplió
Cruz Azul,9,2576,0,0,9,2576,2300,Cumplió
Puebla F.C.,7,2353,0,0,7,2353,2110,Cumplió
Mazatlán FC,5,2198,1,90,5,2288,2157,Cumplió
Pachuca,6,1249,2,716,6,1965,1965,Cumplió
Rayados de Monterrey,4,839,2,1098,4,1937,1937,Cumplió
América,5,881,1,620,5,1501,1471,Cumplió
Toluca,5,1296,0,0,5,1296,1296,Cumplió
Club Tijuana,2,543,1,720,2,1263,1263,Cumplió
Tigres de la U.A.N.L.,4,437,1,720,4,1157,1157,Cumplió
FC Juárez,5,478,1,630,5,1108,1108,Cumplió
Guadalajara,5,551,1,540,5,1091,1091,Cumplió
Gallos Blancos de Querétaro,3,1071,0,0,3,1071,1071,Cumplió
