Temporada,Torneo,Pos,Jugador,Club,G,MJ
2018-2019,Apertura,1,Mónica Desiree Monsiváis,Rayadas,13,887
2018-2019,Apertura,2,Katty Martínez,Tigres,12,834
2018-2019,Apertura,3,Mariel Román,Toluca,11,1075
2018-2019,Apertura,4,Mariela Jiménez,Puebla,9,1315
2018-2019,Apertura,5,Mónica Ocampo,Pachuca,8,619
2018-2019,Apertura,6,Diana Laura Evangelista,Rayadas,8,1064
2018-2019,Apertura,7,Betzy Casandra Cuevas,América,7,1257
2018-2019,Apertura,8,Adriana Iturbide,Atlas,7,1131
2018-2019,Apertura,9,Sanjuana De Jesús Muñoz,León,7,1411
2018-2019,Apertura,10,Yahaira Esmeralda Flores,Santos Laguna,7,1305
2018-2019,Apertura,11,Alison Hecnary González,Tigres,6,515
2018-2019,Apertura,12,María Fernanda Elizondo,Tigres,6,573
2018-2019,Apertura,13,Lizbeth Ángeles,Pachuca,6,1394
2018-2019,Apertura,14,Norma Luz Irene Duarte,Guadalajara,6,1419
2018-2019,Apertura,15,Daniela Lizbeth Solís,Rayadas,6,967
2018-2019,Apertura,16,Belén De Jesús Cruz,Tigres,5,624
2018-2019,Apertura,17,Marylin Viridiana Díaz,América,5,1385
2018-2019,Apertura,18,Alicia Cervantes,Rayadas,5,1008
2018-2019,Apertura,19,María Natalia Mauleon,Toluca,5,855
2018-2019,Apertura,20,Abigail De Jesús,Lobos BUAP,5,1006
2018-2019,Apertura,21,Gloria Narváez,Lobos BUAP,5,1066
2018-2019,Apertura,22,Sharon Andrea Barba,Cruz Azul,5,1033
2018-2019,Apertura,23,Evelyn Teresa González,Tigres,4,739
2018-2019,Apertura,24,Liliana Mercado,Tigres,4,1138
2018-2019,Apertura,25,Esbeydi Viridiana Salazar,Pachuca,4,851
2018-2019,Apertura,26,Vannya Rebeca García,América,4,396
2018-2019,Apertura,27,Daniela Espinosa,América,4,924
2018-2019,Apertura,28,Kristal Rubi Soto,Guadalajara,4,927
2018-2019,Apertura,29,Arlett Tovar,Guadalajara,4,1206
2018-2019,Apertura,30,Liliana Rodríguez,Toluca,4,1054
2018-2019,Apertura,31,Kenya Téllez,Toluca,4,1162
2018-2019,Apertura,32,Ana Rosa García,Atlas,4,1050
2018-2019,Apertura,33,Claudia Fabiola Ibarra,Atlas,4,1286
2018-2019,Apertura,34,Joana Robles,Atlas,4,1337
2018-2019,Apertura,35,Mirelle Arciniega,Puebla,4,1120
2018-2019,Apertura,36,Jessica Liliana Tenorio,Puebla,4,1440
2018-2019,Apertura,37,Michelle González,León,4,1440
2018-2019,Apertura,38,Alejandra Zoe Tapia,Querétaro,4,1079
2018-2019,Apertura,39,Lizette Montserrat Rodríguez,M. Morelia,4,696
2018-2019,Apertura,40,Madeleine Pasco,M. Morelia,4,1236
2018-2019,Apertura,41,Inglis Yoana Hernández,Tijuana,4,1221
2018-2019,Apertura,42,Lizbeth Jacqueline Ovalle,Tigres,3,536
2018-2019,Apertura,43,Yanin Madrid,Pachuca,3,1253
2018-2019,Apertura,44,Lucero Ximena Cuevas,América,3,1080
2018-2019,Apertura,45,Dania Nicole Pérez,Guadalajara,3,665
2018-2019,Apertura,46,Brenda Noemí Viramontes,Guadalajara,3,1004
2018-2019,Apertura,47,Andrea Hernández,Toluca,3,999
2018-2019,Apertura,48,Karen Becerril,Toluca,3,1039
2018-2019,Apertura,49,Karime Abud,Pumas,3,505
2018-2019,Apertura,50,Diana Paula Gómez,Pumas,3,905
2018-2019,Apertura,51,Mayra Alejandra Santana,Atlas,3,260
2018-2019,Apertura,52,Ana Anayeli Rodríguez,Atlas,3,617
2018-2019,Apertura,53,Nayeli Denise Peréz,Puebla,3,363
2018-2019,Apertura,54,Perla Rocío Navarrete,León,3,928
2018-2019,Apertura,55,Diana Laura García,León,3,1293
2018-2019,Apertura,56,Rebeca Villuendas,Querétaro,3,1121
2018-2019,Apertura,57,Brenda León,Lobos BUAP,3,1385
2018-2019,Apertura,58,Nancy Ojeda,Veracruz,3,965
2018-2019,Apertura,59,Melissa Aideé Sosa,Santos Laguna,3,1431
2018-2019,Apertura,60,Lydia Nayeli Rangel,Tigres,2,359
2018-2019,Apertura,61,Nancy Guadalupe Antonio,Tigres,2,771
2018-2019,Apertura,62,Christian Carolina Jaramillo,Tigres,2,810
2018-2019,Apertura,63,Greta Alejandra Espinoza,Tigres,2,1143
2018-2019,Apertura,64,Estefany Elizabeth Hernández,Pachuca,2,183
2018-2019,Apertura,65,Fátima Monserrat Arellano,Pachuca,2,817
2018-2019,Apertura,66,Yaritzi Rodríguez,Pachuca,2,898
2018-2019,Apertura,67,Karla Paola Nieto,Pachuca,2,900
2018-2019,Apertura,68,Miriam Vanessa García,Guadalajara,2,1060
2018-2019,Apertura,69,Yamile Azenek Franco,Toluca,2,728
2018-2019,Apertura,70,Zaira Carolina Miranda,Toluca,2,901
2018-2019,Apertura,71,Karla Daniela Zempoalteca,Toluca,2,1153
2018-2019,Apertura,72,Edna Fabiola Santamaria,Pumas,2,990
2018-2019,Apertura,73,Patricia De María Jardón,Pumas,2,1081
2018-2019,Apertura,74,Ricla Rajunov,Pumas,2,1260
2018-2019,Apertura,75,Fátima Del Carmen Delgado,Atlas,2,1248
2018-2019,Apertura,76,Denisse Lizette Valdez,León,2,797
2018-2019,Apertura,77,Sandy Paulina Cruzado,Querétaro,2,601
2018-2019,Apertura,78,Sofia Alvarez,Querétaro,2,1288
2018-2019,Apertura,79,Melissa Leilani Arredondo,Querétaro,2,1410
2018-2019,Apertura,80,Claudia Fernanda Cid,Lobos BUAP,2,1383
2018-2019,Apertura,81,Dalia Isabel Molina,M. Morelia,2,541
2018-2019,Apertura,82,María Guadalupe Cruzaley,M. Morelia,2,1395
2018-2019,Apertura,83,Alejandra Soriano,Veracruz,2,766
2018-2019,Apertura,84,Daniela Alcantar,Veracruz,2,1141
2018-2019,Apertura,85,Rosa Iris Aguiar,Tijuana,2,1306
2018-2019,Apertura,86,Flor Rocío Rodríguez,Cruz Azul,2,428
2018-2019,Apertura,87,Cristina Del Carmen Ferral,Tigres,1,671
2018-2019,Apertura,88,Jazmín Enrigue,Tigres,1,887
2018-2019,Apertura,89,Cynthia Mariana Rodríguez,Pachuca,1,80
2018-2019,Apertura,90,Karen Itzayana Gómez,Pachuca,1,963
2018-2019,Apertura,91,Alejandra Guadalupe Curiel,América,1,279
2018-2019,Apertura,92,Julieta Peralta,América,1,433
2018-2019,Apertura,93,Diana Victoria González,América,1,670
2018-2019,Apertura,94,Estefanía Fuentes,América,1,855
2018-2019,Apertura,95,Anette Natalia Vázquez,Guadalajara,1,252
2018-2019,Apertura,96,Yazmin Araceli Álvarez,Guadalajara,1,354
2018-2019,Apertura,97,Ana Gabriela Huerta,Guadalajara,1,361
2018-2019,Apertura,98,Priscila Guadalupe Padilla,Guadalajara,1,728
2018-2019,Apertura,99,Tania Paola Morales,Guadalajara,1,1099
2018-2019,Apertura,100,María Andrea Sánchez,Guadalajara,1,1224
2018-2019,Apertura,101,Miriam Castillo,Guadalajara,1,1232
2018-2019,Apertura,102,Aylin Ariana Aviléz,Rayadas,1,265
2018-2019,Apertura,103,Norali Armenta,Rayadas,1,412
2018-2019,Apertura,104,Dinora Lizeth Garza,Rayadas,1,760
2018-2019,Apertura,105,Rebeca Bernal,Rayadas,1,971
2018-2019,Apertura,106,Valeria Valdez,Rayadas,1,1035
2018-2019,Apertura,107,Alejandra Zaragoza,Toluca,1,118
2018-2019,Apertura,108,Ana Paola López,Pumas,1,179
2018-2019,Apertura,109,Hireri Velázquez,Pumas,1,886
2018-2019,Apertura,110,Bibiana Guadalupe Quintos,Pumas,1,938
2018-2019,Apertura,111,Ana Karen López,Pumas,1,1170
2018-2019,Apertura,112,Dania Belén Padilla,Pumas,1,1348
2018-2019,Apertura,113,Zellyka Guadalupe Arce,Atlas,1,1431
2018-2019,Apertura,114,Alondra Jiménez,Puebla,1,357
2018-2019,Apertura,115,Carmen Lissette Taboada,Puebla,1,476
2018-2019,Apertura,116,Ivonne Najar,Puebla,1,690
2018-2019,Apertura,117,Mariam Nataly Castro,Puebla,1,1113
2018-2019,Apertura,118,María José López,Puebla,1,1384
2018-2019,Apertura,119,Leticia Vázquez,León,1,863
2018-2019,Apertura,120,Daniela Auza,Querétaro,1,537
2018-2019,Apertura,121,Luz María Ruíz,Querétaro,1,1046
2018-2019,Apertura,122,Ana Paola Pérez,Lobos BUAP,1,378
2018-2019,Apertura,123,Cheyli Yuset Almejo,Lobos BUAP,1,527
2018-2019,Apertura,124,Karen Mejía,Lobos BUAP,1,1206
2018-2019,Apertura,125,Nadia Enira Barriga,M. Morelia,1,639
2018-2019,Apertura,126,María Fernanda Sandoval,M. Morelia,1,771
2018-2019,Apertura,127,Eleisa Santos,M. Morelia,1,1326
