Temporada,Torneo,Pos,Club,JJ,JG,JE,JP,GF,GC,Dif,PTS,JJ,JG,JE,JP,GF,GC,Dif,PTS,JJ,JG,JE,JP,GF,GC,Dif,PTS
2020-2021,Apertura,1,Tigres,17,15,1,1,50,11,39,46,9,8,0,1,30,7,23,24,8,7,1,0,20,4,16,22
2020-2021,Apertura,2,Atlas,17,13,2,2,45,18,27,41,9,7,2,0,24,8,16,23,8,6,0,2,21,10,11,18
2020-2021,Apertura,3,Rayadas,17,13,2,2,41,19,22,41,8,6,1,1,23,11,12,19,9,7,1,1,18,8,10,22
2020-2021,Apertura,4,Guadalajara,17,12,2,3,42,17,25,38,8,6,0,2,18,7,11,18,9,6,2,1,24,10,14,20
2020-2021,Apertura,5,América,17,11,4,2,35,12,23,37,8,5,2,1,23,6,17,17,9,6,2,1,12,6,6,20
2020-2021,Apertura,6,Pumas,17,8,3,6,25,15,10,27,8,4,2,2,10,4,6,14,9,4,1,4,15,11,4,13
2020-2021,Apertura,7,Querétaro,17,7,5,5,24,20,4,26,9,3,3,3,10,12,-2,12,8,4,2,2,14,8,6,14
2020-2021,Apertura,8,Pachuca,17,7,3,7,24,25,-1,24,9,3,2,4,12,13,-1,11,8,4,1,3,12,12,0,13
2020-2021,Apertura,9,Santos Laguna,17,5,6,6,17,20,-3,21,9,2,4,3,7,10,-3,10,8,3,2,3,10,10,0,11
2020-2021,Apertura,10,Mazatlán FC,17,6,3,8,14,39,-25,21,8,4,2,2,10,11,-1,14,9,2,1,6,4,28,-24,7
2020-2021,Apertura,11,Atlético de San Luis,17,5,2,10,22,30,-8,17,9,5,1,3,15,12,3,16,8,0,1,7,7,18,-11,1
2020-2021,Apertura,12,Puebla,17,4,5,8,12,23,-11,17,9,3,3,3,6,9,-3,12,8,1,2,5,6,14,-8,5
2020-2021,Apertura,13,León,17,4,4,9,21,31,-10,16,8,2,1,5,9,17,-8,7,9,2,3,4,12,14,-2,9
2020-2021,Apertura,14,Cruz Azul,17,3,5,9,14,24,-10,14,9,2,2,5,9,12,-3,8,8,1,3,4,5,12,-7,6
2020-2021,Apertura,15,Toluca,17,4,1,12,16,29,-13,13,9,3,0,6,10,17,-7,9,8,1,1,6,6,12,-6,4
2020-2021,Apertura,16,Tijuana,17,3,3,11,16,31,-15,12,8,2,2,4,10,13,-3,8,9,1,1,7,6,18,-12,4
2020-2021,Apertura,17,FC Juárez,17,3,2,12,13,44,-31,11,8,2,0,6,4,21,-17,6,9,1,2,6,9,23,-14,5
2020-2021,Apertura,18,Necaxa,17,3,1,13,10,33,-23,10,8,2,0,6,7,14,-7,6,9,1,1,7,3,19,-16,4
