Temporada,Torneo,Pos,Jugador,Club,G,MJ
2022-2023,Clausura,1,Verónica Charlyn Corral,Pachuca,20,1520
2022-2023,Clausura,2,Jennifer Hermoso,Pachuca,18,1479
2022-2023,Clausura,3,Christina Marie Burkenroad,Rayadas,15,1283
2022-2023,Clausura,4,Mia Renee Fishel,Tigres,13,1341
2022-2023,Clausura,5,Kiana Angélica Palacios,América,13,993
2022-2023,Clausura,6,Alicia Cervantes,Guadalajara,10,522
2022-2023,Clausura,7,Lizbeth Jacqueline Ovalle,Tigres,9,1365
2022-2023,Clausura,8,María Natalia Mauleon,América,9,1061
2022-2023,Clausura,9,Renae Nicole Cuéllar,Tijuana,8,1008
2022-2023,Clausura,10,Sandra Stephany Mayor,Tigres,7,990
2022-2023,Clausura,11,Christian Carolina Jaramillo,Guadalajara,7,1530
2022-2023,Clausura,12,Jasmine Alexis Casarez,FC Juárez,7,1455
2022-2023,Clausura,13,Daniela Espinosa,Tijuana,7,1169
2022-2023,Clausura,14,Kimberli Anahí Gómez,Pumas,7,799
2022-2023,Clausura,15,Alexia Nayeli Villanueva,Santos Laguna,7,1500
2022-2023,Clausura,16,Chinwendu Verónica Ihezuo,Rayadas,6,799
2022-2023,Clausura,17,Maricarmen Reyes,Tigres,6,898
2022-2023,Clausura,18,Katty Martínez,América,6,941
2022-2023,Clausura,19,Miah Alexia Zuazua,FC Juárez,6,1039
2022-2023,Clausura,20,Carolina Paola Venegas,Atlas,6,863
2022-2023,Clausura,21,Destinney Rosalía Duron,Toluca,6,915
2022-2023,Clausura,22,Sofía Varela,Santos Laguna,6,1143
2022-2023,Clausura,23,Adriana Iturbide,Guadalajara,5,996
2022-2023,Clausura,24,Gabriela Valenzuela,Guadalajara,5,1158
2022-2023,Clausura,25,Blanca María Solís,FC Juárez,5,887
2022-2023,Clausura,26,Myra Alexandra Delgadillo,FC Juárez,5,1221
2022-2023,Clausura,27,Mariel Román,Toluca,5,1151
2022-2023,Clausura,28,Brenda Woch Da Graca,Toluca,5,1400
2022-2023,Clausura,29,Daniela Carrandi,Atlético de San Luis,5,1422
2022-2023,Clausura,30,Aylin Ariana Aviléz,Rayadas,4,635
2022-2023,Clausura,31,Rebeca Bernal,Rayadas,4,1369
2022-2023,Clausura,32,Uchenna Grace Kanu,Tigres,4,135
2022-2023,Clausura,33,Andrea Pereira,América,4,1350
2022-2023,Clausura,34,Joseline Montoya,Guadalajara,4,1312
2022-2023,Clausura,35,Luz Aida Duarte,Pumas,4,360
2022-2023,Clausura,36,Yashira Yuleth Barrientos,León,4,604
2022-2023,Clausura,37,Mariana Valeria Larroquette,León,4,1093
2022-2023,Clausura,38,Daniela Calderón,León,4,1356
2022-2023,Clausura,39,Daniela Lizbeth Solís,Rayadas,3,500
2022-2023,Clausura,40,Diana Laura Evangelista,Rayadas,3,1250
2022-2023,Clausura,41,Belén De Jesús Cruz,Tigres,3,620
2022-2023,Clausura,42,Alison Hecnary González,América,3,472
2022-2023,Clausura,43,Scarlett Nefer Camberos,América,3,519
2022-2023,Clausura,44,Sarah Jacquelyn Luebbert,América,3,591
2022-2023,Clausura,45,Aurelie Anne Sophie Kaci,América,3,1204
2022-2023,Clausura,46,Damaris Michel Godínez,Guadalajara,3,1463
2022-2023,Clausura,47,Alice Fernanda Soto,Pachuca,3,977
2022-2023,Clausura,48,Jermaine Seoposenwe,FC Juárez,3,987
2022-2023,Clausura,49,María Fernanda Daniela Pérez,Atlas,3,783
2022-2023,Clausura,50,Brenda Damaris Ceren,Atlas,3,981
2022-2023,Clausura,51,Claudia Fabiola Ibarra,Atlas,3,1193
2022-2023,Clausura,52,Valeria Razo,Atlas,3,1254
2022-2023,Clausura,53,Paola Del Carmen Villamizar,Tijuana,3,1418
2022-2023,Clausura,54,Stephanie Mariana Ribeiro,Pumas,3,414
2022-2023,Clausura,55,Venicia Gabriela Juárez,Pumas,3,686
2022-2023,Clausura,56,Marylin Viridiana Díaz,Pumas,3,1505
2022-2023,Clausura,57,Mayalu Ann Rausch,León,3,865
2022-2023,Clausura,58,Leidy Lizeth Ramos,Querétaro,3,921
2022-2023,Clausura,59,Itzia Tenahua,Atlético de San Luis,3,437
2022-2023,Clausura,60,Beatriz Parra,Atlético de San Luis,3,902
2022-2023,Clausura,61,Cinthya Peraza,Santos Laguna,3,1110
2022-2023,Clausura,62,Brenda Judith García,Puebla,3,825
2022-2023,Clausura,63,Diana Elizabeth Anguiano,Necaxa,3,1322
2022-2023,Clausura,64,Carlee Rose Giammona,Rayadas,2,680
2022-2023,Clausura,65,Yamile Azenek Franco,Rayadas,2,998
2022-2023,Clausura,66,Deiry Loreli Ramírez,Tigres,2,119
2022-2023,Clausura,67,Riley Grace Mattingly,Tigres,2,219
2022-2023,Clausura,68,Nancy Guadalupe Antonio,Tigres,2,663
2022-2023,Clausura,69,Kinberly Paloma Guzmán,Guadalajara,2,476
2022-2023,Clausura,70,Lizbeth Ángeles,Pachuca,2,694
2022-2023,Clausura,71,Marta Alexandra Cox Villarreal,Pachuca,2,877
2022-2023,Clausura,72,Janelly Farias,Pachuca,2,1062
2022-2023,Clausura,73,Karen Andrea García,Atlas,2,666
2022-2023,Clausura,74,Alejandra Franco,Atlas,2,705
2022-2023,Clausura,75,Marcia Paola García,Atlas,2,767
2022-2023,Clausura,76,Alejandra Lomelí,Atlas,2,882
2022-2023,Clausura,77,Paola Chavero,Pumas,2,1031
2022-2023,Clausura,78,María Fernanda Sánchez,Toluca,2,519
2022-2023,Clausura,79,Vanessa Maria Penuna,Toluca,2,795
2022-2023,Clausura,80,Liliana Rodríguez,Toluca,2,1242
2022-2023,Clausura,81,Briana Elizabeth Woodall,León,2,839
2022-2023,Clausura,82,Deisy Estefania Ojeda,Querétaro,2,1259
2022-2023,Clausura,83,Jazmín Enrigue,Querétaro,2,1530
2022-2023,Clausura,84,Estefania Izaguirre,Atlético de San Luis,2,487
2022-2023,Clausura,85,Joana Robles,Atlético de San Luis,2,1476
2022-2023,Clausura,86,Julissa Fernanda Dávila,Atlético de San Luis,2,1530
2022-2023,Clausura,87,Daniela Janet Monroy,Cruz Azul,2,1114
2022-2023,Clausura,88,Daniela Frank Flores,Cruz Azul,2,1152
2022-2023,Clausura,89,Dalia Isabel Molina,Cruz Azul,2,1336
2022-2023,Clausura,90,Rebeca Villuendas,Puebla,2,568
2022-2023,Clausura,91,María Elena Sainz,Puebla,2,1525
2022-2023,Clausura,92,Saira Cecilia López,Necaxa,2,1024
2022-2023,Clausura,93,Samantha Kassandra Calvillo,Necaxa,2,1393
2022-2023,Clausura,94,Olga Anahí Trasviña,Mazatlán FC,2,1009
2022-2023,Clausura,95,Mónica Desiree Monsiváis,Rayadas,1,137
2022-2023,Clausura,96,Fátima Servín,Rayadas,1,352
2022-2023,Clausura,97,Mónica Irina Flores,Rayadas,1,435
2022-2023,Clausura,98,Valeria Valdez,Rayadas,1,500
2022-2023,Clausura,99,Karol Esthefany Bernal,Rayadas,1,1052
2022-2023,Clausura,100,Betzy Casandra Cuevas,América,1,610
2022-2023,Clausura,101,Eva Beatriz González,América,1,882
2022-2023,Clausura,102,Sabrina Marie Enciso,América,1,956
2022-2023,Clausura,103,Karen Irasema Luna,América,1,1036
2022-2023,Clausura,104,Casandra Montero,Guadalajara,1,1521
2022-2023,Clausura,105,Mariana Munguía,Pachuca,1,12
2022-2023,Clausura,106,Julia Yareli Valadez,Pachuca,1,128
2022-2023,Clausura,107,Vanessa Beatriz Millsaps,Pachuca,1,249
2022-2023,Clausura,108,Jillian June Khaterine Jennings,Pachuca,1,554
2022-2023,Clausura,109,Karen Alejandra Díaz,Pachuca,1,750
2022-2023,Clausura,110,Mónica Ocampo,Pachuca,1,1092
2022-2023,Clausura,111,Karla Paola Nieto,Pachuca,1,1504
2022-2023,Clausura,112,Sumiko Gutiérrez,FC Juárez,1,947
2022-2023,Clausura,113,María Andrea Sánchez,FC Juárez,1,1102
2022-2023,Clausura,114,Andrea Hernández,FC Juárez,1,1530
2022-2023,Clausura,115,Zellyka Guadalupe Arce,Atlas,1,1129
2022-2023,Clausura,116,Connie Elizabeth Caliz,Tijuana,1,273
2022-2023,Clausura,117,Dulce Maria Alvarado,Tijuana,1,640
2022-2023,Clausura,118,Verónica Raquel Pérez,Tijuana,1,983
2022-2023,Clausura,119,Mónica Rose Alvarado,Tijuana,1,1168
2022-2023,Clausura,120,Chandra Marie Eigenberger,Pumas,1,121
2022-2023,Clausura,121,Lucia Rodríguez,Pumas,1,148
2022-2023,Clausura,122,Daniela Itzaxaya García,Pumas,1,211
2022-2023,Clausura,123,Samantha López,Pumas,1,465
2022-2023,Clausura,124,Dirce Delgado,Pumas,1,1530
2022-2023,Clausura,125,Lucero Ximena Cuevas,León,1,295
2022-2023,Clausura,126,Linda Ruth Bravo,León,1,901
2022-2023,Clausura,127,Madeleine Pasco,León,1,973
2022-2023,Clausura,128,Alondra Karime Camargo,Querétaro,1,537
2022-2023,Clausura,129,Daniela Sánchez,Querétaro,1,829
2022-2023,Clausura,130,Fátima Del Carmen Delgado,Querétaro,1,918
2022-2023,Clausura,131,Edna Fabiola Santamaria,Querétaro,1,1369
2022-2023,Clausura,132,Denisse Alejandra Rivera,Atlético de San Luis,1,352
2022-2023,Clausura,133,Mariela García,Atlético de San Luis,1,765
2022-2023,Clausura,134,Karen Lizbeth Cano,Atlético de San Luis,1,900
2022-2023,Clausura,135,Desarae Nicolé Félix,Santos Laguna,1,625
2022-2023,Clausura,136,Sheila Odeth Pulido,Santos Laguna,1,1344
2022-2023,Clausura,137,Alexxandra Ramírez,Santos Laguna,1,1505
2022-2023,Clausura,138,Ana Gabriela Huerta,Cruz Azul,1,497
2022-2023,Clausura,139,Cori Michelle Sullivan,Cruz Azul,1,658
2022-2023,Clausura,140,Claudia Fernanda Cid,Cruz Azul,1,834
2022-2023,Clausura,141,Renata Fernanda Huerta,Cruz Azul,1,856
2022-2023,Clausura,142,Alexia Fernanda Delgado,Cruz Azul,1,985
2022-2023,Clausura,143,Ana Gabriela Lozada,Cruz Azul,1,997
2022-2023,Clausura,144,Karime Abud,Cruz Azul,1,1114
2022-2023,Clausura,145,María Alejandra Peraza,Cruz Azul,1,1503
2022-2023,Clausura,146,Marisol Luna,Puebla,1,254
2022-2023,Clausura,147,Fátima Guadalupe Bracamonte,Puebla,1,333
2022-2023,Clausura,148,Daniela Auza,Puebla,1,969
2022-2023,Clausura,149,Camila Fonseca,Puebla,1,1185
2022-2023,Clausura,150,Samantha Marlen Martínez,Puebla,1,1203
2022-2023,Clausura,151,Fátima Rosales,Puebla,1,1260
2022-2023,Clausura,152,Viridiana López,Puebla,1,1392
2022-2023,Clausura,153,Fanny Lizeth Grano,Necaxa,1,558
2022-2023,Clausura,154,Lucia Muñoz,Necaxa,1,1015
2022-2023,Clausura,155,Yuliana Marlene Mora,Mazatlán FC,1,778
2022-2023,Clausura,156,Cristina María Torres,Mazatlán FC,1,994
2022-2023,Clausura,157,Magaly Cortés,Mazatlán FC,1,1156
2022-2023,Clausura,158,Yaritza Yanely Arista,Mazatlán FC,1,1395
