Temporada, Torneo, Fase, Pos,Jugador,Club,G,MJ,ANOTA CADA,NACIONALIDAD
2024-2025,Apertura, Regular, 1,Verónica Charlyn Corral,Pachuca,18,1530,85.00 min,Mexicano
2024-2025,Apertura, Regular, 2,Aisha Keshy Solórzano,Tijuana,16,1385,86.56 min,Guatemalteco
2024-2025,Apertura, Regular, 3,Lizbeth Jacqueline Ovalle,Tigres,15,1251,83.40 min,Mexicano
2024-2025,Apertura, Regular, 4,Kiana Angélica Palacios,América,13,1141,87.77 min,Mexicano
2024-2025,Apertura, Regular, 5,Alicia Cervantes,Guadalajara,11,1490,135.45 min,Mexicano
2024-2025,Apertura, Regular, 6,Stephanie Mariana Ribeiro,Pumas,11,1033,93.91 min,Estadounidense
2024-2025,Apertura, Regular, 7,Sarah Jacquelyn Luebbert,América,10,1113,111.30 min,Estadounidense
2024-2025,Apertura, Regular, 8,Christina Marie Burkenroad,Rayadas,9,801,89.00 min,Mexicano
2024-2025,Apertura, Regular, 9,Chinwendu Verónica Ihezuo,Pachuca,9,1073,119.22 min,Nigeriano
2024-2025,Apertura, Regular, 10,María Paula Salas,Atlas,9,1211,134.56 min,Costarricense
2024-2025,Apertura, Regular, 11,Mariel Román,Toluca,8,1278,159.75 min,Mexicano
2024-2025,Apertura, Regular, 12,Jasmine Alexis Casarez,FC Juárez,7,1077,153.86 min,Mexicano
2024-2025,Apertura, Regular, 13,Dania Nicole Pérez,Rayadas,6,959,159.83 min,Mexicano
2024-2025,Apertura, Regular, 14,Michaela Batya Bisi Abam,Toluca,6,1084,180.67 min,Estadounidense
2024-2025,Apertura, Regular, 15,Cinthya Peraza,Toluca,6,1417,236.17 min,Mexicano
2024-2025,Apertura, Regular, 16,Enekia Kasonga Lunyamila,Mazatlán FC,6,1067,177.83 min,Tanzano
2024-2025,Apertura, Regular, 17,Lucía García,Rayadas,5,732,146.40 min,Español
2024-2025,Apertura, Regular, 18,Scarlett Nefer Camberos,América,5,758,151.60 min,Mexicano
2024-2025,Apertura, Regular, 19,Irene Guerrero,América,5,1209,241.80 min,Español
2024-2025,Apertura, Regular, 20,Aerial Lynndonna Chavarin,Pumas,5,1158,231.60 min,Estadounidense
2024-2025,Apertura, Regular, 21,Edna Fabiola Santamaria,Querétaro,5,1258,251.60 min,Mexicano
2024-2025,Apertura, Regular, 22,Marcia Paola García,Atlas,5,774,154.80 min,Mexicano
2024-2025,Apertura, Regular, 23,Ana Lucia Martínez,Rayadas,4,662,165.50 min,Guatemalteco
2024-2025,Apertura, Regular, 24,Chrestinah Thembi Kgatlana,Tigres,4,1010,252.50 min,Sudafricano
2024-2025,Apertura, Regular, 25,Dayana Milan Martin,FC Juárez,4,370,92.50 min,Estadounidense
2024-2025,Apertura, Regular, 26,Janelly Farias,FC Juárez,4,1209,302.25 min,Mexicano
2024-2025,Apertura, Regular, 27,Adriana Iturbide,Guadalajara,4,459,114.75 min,Mexicano
2024-2025,Apertura, Regular, 28,Gabriela Valenzuela,Guadalajara,4,1191,297.75 min,Mexicano
2024-2025,Apertura, Regular, 29,Deneisha Selena Blackwood,Pumas,4,1354,338.50 min,Jamaiquino
2024-2025,Apertura, Regular, 30,Wendis Jhoana Cabrera,Querétaro,4,610,152.50 min,Colombiano
2024-2025,Apertura, Regular, 31,Dalia Isabel Molina,Cruz Azul,4,1261,315.25 min,Mexicano
2024-2025,Apertura, Regular, 32,María Fernanda Sánchez,Atlético de San Luis,4,1310,327.50 min,Mexicano
