Temporada, Torneo, Tipo, tarjeta, Club,Total_Tarjetas,PorcentajexClub,PromedioxMinutos,PromedioxPartido
2024-2025,Apertura,regular, amarillas, Pachuca,39,7.47,39.23,2.29
2024-2025,Apertura,regular, amarillas, Necaxa,38,7.28,40.26,2.24
2024-2025,Apertura,regular, amarillas, Queretaro,35,6.70,43.71,2.06
2024-2025,Apertura,regular, amarillas, Puebla,34,6.51,45.00,2.00
2024-2025,Apertura,regular, amarillas, Atletico de San Luis,33,6.32,46.36,1.94
2024-2025,Apertura,regular, amarillas, Leon,32,6.13,47.81,1.88
2024-2025,Apertura,regular, amarillas, Toluca,32,6.13,47.81,1.88
2024-2025,Apertura,regular, amarillas, Tijuana,30,5.75,51.00,1.76
2024-2025,Apertura,regular, amarillas, Guadalajara,29,5.56,52.76,1.71
2024-2025,Apertura,regular, amarillas, Mazatlan FC,29,5.56,52.76,1.71
2024-2025,Apertura,regular, amarillas, Pumas,29,5.56,52.76,1.71
2024-2025,Apertura,regular, amarillas, FC Juarez,28,5.36,54.64,1.65
2024-2025,Apertura,regular, amarillas, Santos Laguna,28,5.36,54.64,1.65
2024-2025,Apertura,regular, amarillas, Tigres,26,4.98,58.85,1.53
2024-2025,Apertura,regular, amarillas, Atlas,22,4.21,69.55,1.29
2024-2025,Apertura,regular, amarillas, Rayadas,22,4.21,69.55,1.29
2024-2025,Apertura,regular, amarillas, America,18,3.45,85.00,1.06
2024-2025,Apertura,regular, amarillas, Cruz Azul,18,3.45,85.00,1.06
