Temporada, Torneo, Club, Menores_Alineadas, Minutos, Menores_Seleccionadas, Minutos_Acumulados, Menores_que_acumularon, Minutos_Acumulados, Minutos_al_Reglamento, Minutos_por_Cumplir
2024-2025,Apertura, Necaxa,7,5209,0,0,7,5209,3060,Cumplió
2024-2025,Apertura, Santos Laguna,8,4382,0,0,8,4382,3015,Cumplió
2024-2025,Apertura, Club Atlético de San Luis,9,3499,1,174,9,3673,3003,Cumplió
2024-2025,Apertura, Atlas,10,2581,3,785,10,3366,2932,Cumplió
2024-2025,Apertura, León,5,2066,2,951,5,3017,2839,Cumplió
2024-2025,Apertura, Universidad Nacional,6,2409,1,448,6,2857,2720,Cumplió
2024-2025,Apertura, Cruz Azul,9,2576,0,0,9,2576,2300,Cumplió
2024-2025,Apertura, Puebla F.C.,7,2353,0,0,7,2353,2110,Cumplió
2024-2025,Apertura, Mazatlán FC,5,2198,1,90,5,2288,2157,Cumplió
2024-2025,Apertura, Pachuca,6,1249,2,716,6,1965,1965,Cumplió
2024-2025,Apertura, Rayados de Monterrey,4,839,2,1098,4,1937,1937,Cumplió
2024-2025,Apertura, América,5,881,1,620,5,1501,1471,Cumplió
2024-2025,Apertura, Toluca,5,1296,0,0,5,1296,1296,Cumplió
2024-2025,Apertura, Club Tijuana,2,543,1,720,2,1263,1263,Cumplió
2024-2025,Apertura, Tigres de la U.A.N.L.,4,437,1,720,4,1157,1157,Cumplió
2024-2025,Apertura, FC Juárez,5,478,1,630,5,1108,1108,Cumplió
2024-2025,Apertura, Guadalajara,5,551,1,540,5,1091,1091,Cumplió
2024-2025,Apertura, Gallos Blancos de Querétaro,3,1071,0,0,3,1071,1071,Cumplió
