Temporada, Torneo, Club, IDAFLDDRVD,NUI,NOMBRE,TA,TA_REGLAMENTO,TR,TRPC
2024-2025,Apertura, Rayados de Monterrey,161971,153929,Myra Alexandra Delgadillo Prado,5,3,0,0
2024-2025,Apertura, Rayados de Monterrey,170777,162332,Merel Didi Van Dongen ,4,1,0,0
2024-2025,Apertura, Rayados de Monterrey,124806,123710,Diana Laura García Castillo,3,2,0,0
2024-2025,Apertura, Rayados de Monterrey,153293,145869,Carol Cázares Carrera,3,0,0,0
2024-2025,Apertura, Rayados de Monterrey,125612,124225,Daniela Janet Monroy Cortez,2,0,0,0
2024-2025,Apertura, Rayados de Monterrey,145736,141273,Christina Marie Burkenroad Biggica,2,1,0,0
2024-2025,Apertura, Rayados de Monterrey,170305,162200,Tanna Sánchez Carreto,2,0,0,0
2024-2025,Apertura, Rayados de Monterrey,176939,165661,Marcela Restrepo Valencia,2,2,0,0
2024-2025,Apertura, Rayados de Monterrey,124754,123538,Diana Laura Evangelista Chávez,1,0,0,0
2024-2025,Apertura, Rayados de Monterrey,124777,123580,Lizette Montserrat Rodríguez Cisneros,1,0,0,0
2024-2025,Apertura, Rayados de Monterrey,125430,124041,Ana Gabriela Paz Molina,1,1,0,0
2024-2025,Apertura, Rayados de Monterrey,125485,124233,Rebeca Bernal Rodríguez,1,0,0,0
2024-2025,Apertura, Rayados de Monterrey,125590,124097,Zellyka Guadalupe Arce Balleza,1,0,1,0
2024-2025,Apertura, Rayados de Monterrey,130049,128392,Dania Nicole Pérez Jiménez,1,0,0,0
2024-2025,Apertura, Rayados de Monterrey,132474,130320,Karol Esthefany Bernal Castañeda,1,1,0,0
2024-2025,Apertura, Rayados de Monterrey,171857,163519,Kenneth Barrantes González,1,1,0,0
