Temporada, Torneo, Club, IDAFLDDRVD,NUI,NOMBRE,TA,TA_REGLAMENTO,TR,TRPC
2024-2025,Apertura, Atlas,136761,134324,María Fernanda Daniela Pérez Limón,4,4,0,0
2024-2025,Apertura, Atlas,125425,124063,Selene Deyanira Cortés Valero,3,3,0,0
2024-2025,Apertura, Atlas,125553,124314,Maritza Dardane Maldonado Velázquez,3,3,0,0
2024-2025,Apertura, Atlas,132450,130460,María Elena Sainz Agama,3,3,0,0
2024-2025,Apertura, Atlas,3400,3405,Roberto Gerardo Medina Arellano,2,2,0,0
2024-2025,Apertura, Atlas,162109,155022,María Paula Salas Zúñiga,2,2,0,0
2024-2025,Apertura, Atlas,124823,123713,Jaquelín García Cruz,1,1,0,0
2024-2025,Apertura, Atlas,143755,140103,Marcia Paola García Ramírez,1,1,0,0
2024-2025,Apertura, Atlas,145580,141240,Alejandra Lomelí Franco,1,1,0,0
2024-2025,Apertura, Atlas,145931,141344,Valeria Aurora Miranda Rodríguez,1,1,0,0
2024-2025,Apertura, Atlas,151904,149148,Camila Vázquez Haro,1,1,0,0
2024-2025,Apertura, Atlas,162514,155341,Brenda Damaris Ceren Delgado,1,0,1,0
2024-2025,Apertura, Atlas,169735,159804,Daniela Solera Vega,1,1,0,0
