Temporada, Torneo, Club,IDAFLDDRVD,NUI,NOMBRE,TA,TA_REGLAMENTO,TR,TRPC
2024-2025,Apertura, Cruz Azul,130293,128560,Ivonne Gutiérrez Cortes,3,3,0,0
2024-2025,Apertura, Cruz Azul,172092,163792,Danya Jasmin Gutiérrrez Jule,3,3,0,0
2024-2025,Apertura, Cruz Azul,124756,123595,Dalia Isabel Molina Chuela,2,2,0,0
2024-2025,Apertura, Cruz Azul,125427,124065,Julissa Fernanda Dávila González,2,1,2,0
2024-2025,Apertura, Cruz Azul,129194,125436,Alejandría Godínez Herrera,2,2,0,0
2024-2025,Apertura, Cruz Azul,154993,149208,Lia Shoenstatt Martínez Ramírez,2,1,1,0
2024-2025,Apertura, Cruz Azul,172992,164982,Vivian Obianujuwan Ikechukwu ,2,2,0,0
2024-2025,Apertura, Cruz Azul,125085,124165,Ximena Elizabeth Rios Zarate,1,1,0,0
2024-2025,Apertura, Cruz Azul,131967,130409,José Julio Cevada Hernández,1,1,0,0
2024-2025,Apertura, Cruz Azul,162456,155357,Jennifer Amaro Espinosa,1,1,0,0
