Temporada, Torneo, Club, IDAFLDDRVD,NUI,NOMBRE,TA,TA_REGLAMENTO,TR,TRPC
2024-2025,Apertura, Necaxa, 155048,149316,Alexa Gabriela Hernández Ponce,6,6,0,0
2024-2025,Apertura, Necaxa, 162328,155317,Lesly Samantha González Guerrero,5,5,0,0
2024-2025,Apertura, Necaxa, 165192,158793,Jemery Rashell Myvett Solares,5,5,0,0
2024-2025,Apertura, Necaxa, 154486,149061,Athziri Guadalupe Alonso Hernández,4,4,0,0
2024-2025,Apertura, Necaxa, 172146,163660,Allison Rose Veloz ,4,4,0,0
2024-2025,Apertura, Necaxa, 125601,124338,Ana Gabriela Huerta Aguas,3,3,0,0
2024-2025,Apertura, Necaxa, 124720,123533,Reyna Sabina Velázquez Mejía,2,2,0,0
2024-2025,Apertura, Necaxa, 150336,144889,Valeria Martínez Aguirre,2,2,0,0
2024-2025,Apertura, Necaxa, 172105,163671,Samaria Sarai Gomez Mejia,2,2,0,0
2024-2025,Apertura, Necaxa, 124860,123677,Lucia Muñoz Sánchez,1,1,0,0
2024-2025,Apertura, Necaxa, 125283,124340,Sahiry América Cruz Carreón,1,1,0,0
2024-2025,Apertura, Necaxa, 125656,124387,Karen Lucía De León Pescador,1,1,0,0
2024-2025,Apertura, Necaxa, 130242,128427,Perla Rocío Navarrete Muñoz,1,1,1,0
2024-2025,Apertura, Necaxa, 154597,149101,Avril Alejandra Navarro Flores,1,1,0,0
2024-2025,Apertura, Necaxa, 3435,3440,Miguel Ramírez Salas,0,0,1,0
2024-2025,Apertura, Necaxa, 136820,134362,Dayán Vianey Fuentes Pérez,0,0,1,0
