Temporada, Torneo, Club,IDAFLDDRVD,NUI,NOMBRE,TA,TA_REGLAMENTO,TR,TRPC
2024-2025,Apertura, Pachuca,171805,163249,Yirleidis Quejada Minota,6,0,1,0
2024-2025,Apertura, Pachuca,163786,156592,Chinwendu Verónica Ihezuo ,5,3,2,0
2024-2025,Apertura, Pachuca,136962,134408,Alexandra Guadalupe Godínez García,4,0,0,0
2024-2025,Apertura, Pachuca,149208,143929,Esthefanny Barreras Torres,4,1,0,0
2024-2025,Apertura, Pachuca,149233,143957,Daniela Frank Flores Cortés,4,1,0,0
2024-2025,Apertura, Pachuca,124953,123732,Claudia Fabiola Ibarra Muro,3,0,0,0
2024-2025,Apertura, Pachuca,150305,144906,Amanda Araceli Pérez Murillo,3,0,0,0
2024-2025,Apertura, Pachuca,162057,154408,Andrea Pereira Cejudo,3,0,0,0
2024-2025,Apertura, Pachuca,166331,158634,Ella Ryan Sanchez Stickel,3,1,0,0
2024-2025,Apertura, Pachuca,124848,123718,Karla Paola Nieto Castillo,2,1,0,0
2024-2025,Apertura, Pachuca,150302,144898,Verónica Charlyn Corral Ang,2,0,0,0
2024-2025,Apertura, Pachuca,166682,159223,Ohale Osinachi Marvis,2,0,0,0
2024-2025,Apertura, Pachuca,22425,22438,Sergio Alejandro Santana Piedra,1,1,0,0
2024-2025,Apertura, Pachuca,125500,124296,Dalia Nailea Vidrio Sahagún,1,0,0,0
2024-2025,Apertura, Pachuca,132381,130368,Alice Fernanda Soto Gallegos,1,0,0,0
2024-2025,Apertura, Pachuca,162706,155351,Julia Yareli Valadez Alvidrez,1,1,0,0
2024-2025,Apertura, Pachuca,164163,158006,Nina Dominique Nicosia ,1,1,0,0
2024-2025,Apertura, Pachuca,169679,159296,Vaitiare Kenti Robles Salas,1,0,0,0
2024-2025,Apertura, Pachuca,173688,165266,Shanice Janice Van De Sanden ,1,0,0,0
