Temporada, Torneo, Club,IDAFLDDRVD,NUI,NOMBRE,TA,TA_REGLAMENTO,TR,TRPC
2024-2025,Apertura, Puebla F.C.,139157,136404,Silvia Gabriela Machuca Rubio,3,3,0,0
2024-2025,Apertura, Puebla F.C.,157861,152015,Johana Esperanza Rosas Aguirre,3,3,0,0
2024-2025,Apertura, Puebla F.C.,170801,163507,Barbara Eloisa Murillo Huete,3,2,1,0
2024-2025,Apertura, Puebla F.C.,124866,123729,Liliana Sánchez Magaña,2,1,1,0
2024-2025,Apertura, Puebla F.C.,132462,130461,Jessica Liliana Tenorio García,2,2,0,0
2024-2025,Apertura, Puebla F.C.,143753,140094,Alexandra Aguilar Figueroa,2,2,0,0
2024-2025,Apertura, Puebla F.C.,150314,144885,Jaqueline González Reyes,2,2,0,0
2024-2025,Apertura, Puebla F.C.,156212,150804,Rubí Iridian Villegas Aguilar,2,2,0,0
2024-2025,Apertura, Puebla F.C.,157988,152047,Camila Fonseca Villanueva,2,2,0,0
2024-2025,Apertura, Puebla F.C.,158172,151803,Ahtziri Méndez Munguía,2,2,0,0
2024-2025,Apertura, Puebla F.C.,171823,163506,Anna Jane Loftus ,2,2,0,0
2024-2025,Apertura, Puebla F.C.,176910,165568,Alycia R. Morin ,2,2,0,0
2024-2025,Apertura, Puebla F.C.,130031,128337,Martha Natalia Enciso Ballesteros,1,1,0,0
2024-2025,Apertura, Puebla F.C.,132036,130405,Dulce Eileen Martínez Morales,1,1,0,0
2024-2025,Apertura, Puebla F.C.,150296,144882,Luisa Fernanda De Alba Hernández,1,1,0,0
2024-2025,Apertura, Puebla F.C.,156120,149628,Liliana Fernández Rodríguez,1,1,0,0
2024-2025,Apertura, Puebla F.C.,157947,151976,Venicia Gabriela Juárez Smith,1,1,0,0
2024-2025,Apertura, Puebla F.C.,158464,151387,Dulce María Méndez Pino,1,1,0,0
2024-2025,Apertura, Puebla F.C.,174129,165327,Alyssa Jazmine Oviedo ,1,1,0,0
