Temporada, Torneo, Club,IDAFLDDRVD,NUI,NOMBRE,TA,TA_REGLAMENTO,TR,TRPC
2024-2025,Apertura, Gallos Blancos de Querétaro,162871,155460,Deisy Estefania Ojeda González,7,7,0,0
2024-2025,Apertura, Gallos Blancos de Querétaro,130088,128398,Fátima Del Carmen Delgado Cortés,5,5,0,0
2024-2025,Apertura, Gallos Blancos de Querétaro,170299,162296,Solange Lemos Martínez,4,4,0,0
2024-2025,Apertura, Gallos Blancos de Querétaro,125437,124067,Vanessa González Márquez,3,3,0,0
2024-2025,Apertura, Gallos Blancos de Querétaro,172846,164418,Emily Loriana Flores Chinchilla,3,3,0,0
2024-2025,Apertura, Gallos Blancos de Querétaro,172881,164981,Wendis Jhoana Cabrera Calabria,3,3,0,0
2024-2025,Apertura, Gallos Blancos de Querétaro,124757,123516,Claudia Ivette Lozoya Lechuga,2,2,0,0
2024-2025,Apertura, Gallos Blancos de Querétaro,124900,123645,Edna Fabiola Santamaria Orduña,2,2,0,0
2024-2025,Apertura, Gallos Blancos de Querétaro,125586,124098,Lía Betsabé Morán Torres,1,1,0,0
2024-2025,Apertura, Gallos Blancos de Querétaro,130292,128559,Magaly Cortés Hernández,1,0,1,0
2024-2025,Apertura, Gallos Blancos de Querétaro,132302,130279,Alondra Karime Camargo Aguilar,1,1,0,0
2024-2025,Apertura, Gallos Blancos de Querétaro,143830,140082,Barbrha Alejandra Figueroa González,1,1,0,0
2024-2025,Apertura, Gallos Blancos de Querétaro,154832,149173,Aurora Margarita Suárez Hernández,1,1,0,0
2024-2025,Apertura, Gallos Blancos de Querétaro,157580,151111,Lizeth Estefanía Contreras Rasura,1,1,0,0
