Temporada, Torneo, Club,IDAFLDDRVD,NUI,NOMBRE,TA,TA_REGLAMENTO,TR,TRPC
2024-2025,Apertura, Club Atlético de San Luis,129869,128357,Laura Montserrat Parra Constantino,4,4,0,0
2024-2025,Apertura, Club Atlético de San Luis,136860,134331,Viridiana López Mata,4,4,0,0
2024-2025,Apertura, Club Atlético de San Luis,172091,163701,Elaily Jasmine Hernández - Repreza ,4,4,0,0
2024-2025,Apertura, Club Atlético de San Luis,172094,163707,Isidora Victoria Olave Araneda,4,4,0,0
2024-2025,Apertura, Club Atlético de San Luis,143883,140117,María Fernanda Sánchez Castillo,3,3,0,0
2024-2025,Apertura, Club Atlético de San Luis,129948,128462,Olga Anahí Trasviña Rentería,2,2,0,0
2024-2025,Apertura, Club Atlético de San Luis,132157,130475,Alejandra Franco Gómez,2,2,0,0
2024-2025,Apertura, Club Atlético de San Luis,150345,144881,Denisse Alejandra Rivera Arcizo,2,2,0,0
2024-2025,Apertura, Club Atlético de San Luis,170501,162214,Farlyn Fernanda Caicedo Quiñonez,2,2,0,0
2024-2025,Apertura, Club Atlético de San Luis,49613,49642,Luis Antonio Cota Eguino,1,1,0,0
2024-2025,Apertura, Club Atlético de San Luis,69560,70311,Daniel Flores Vázquez,1,1,0,0
2024-2025,Apertura, Club Atlético de San Luis,130084,128385,Nicole Buenfil Renoult,1,1,0,0
2024-2025,Apertura, Club Atlético de San Luis,132224,130476,Joana Robles Partida,1,1,0,0
2024-2025,Apertura, Club Atlético de San Luis,138991,136344,Isabel Kasis Monjarás,1,1,0,0
2024-2025,Apertura, Club Atlético de San Luis,154795,149085,Silvana González Díaz Barreiro,1,1,0,0
2024-2025,Apertura, Club Atlético de San Luis,154828,148531,Juan Eduardo Mendoza Schulz,1,1,0,0
2024-2025,Apertura, Club Atlético de San Luis,154970,149212,Michelle Guadalupe Gutiérrez Hernández,1,1,0,0
2024-2025,Apertura, Club Atlético de San Luis,158006,151554,Amalia González Valdés,1,1,0,0
