Temporada, Torneo, Club,IDAFLDDRVD,NUI,NOMBRE,TA,TA_REGLAMENTO,TR,TRPC
2024-2025,Apertura, Santos Laguna,143752,140125,Judith Guillermina Félix Rosales,4,4,0,0
2024-2025,Apertura, Santos Laguna,155067,146248,Yessenia Esmeralda Novella López,4,3,1,0
2024-2025,Apertura, Santos Laguna,125566,124327,Mayra Alejandra Santana Estrada,3,3,0,0
2024-2025,Apertura, Santos Laguna,136774,134323,Havi Larisa Ibarra Hernández,3,3,0,0
2024-2025,Apertura, Santos Laguna,124835,123716,Karen Itzayana Gómez Torres,2,2,0,0
2024-2025,Apertura, Santos Laguna,154830,149182,Mayte Valle Madera,2,2,0,0
2024-2025,Apertura, Santos Laguna,155903,149629,Frida Carolina Cussin Franco,2,2,0,0
2024-2025,Apertura, Santos Laguna,161710,153371,María Alejandra Peraza Romero,2,2,0,0
2024-2025,Apertura, Santos Laguna,162552,155542,Karla Maya Vera,2,2,0,0
2024-2025,Apertura, Santos Laguna,124893,123560,Lia Mariel Romero Torres,1,1,0,0
2024-2025,Apertura, Santos Laguna,136951,134407,Diana Elizabeth Anguiano Díaz,1,1,0,0
2024-2025,Apertura, Santos Laguna,148932,143835,Celeste Guevara Ortega,1,1,0,0
2024-2025,Apertura, Santos Laguna,150297,144888,Michel Anahy Ruiz Castañeda,1,1,0,0
2024-2025,Apertura, Santos Laguna,155449,148998,María Magalí Del Verdún Cuadrado Maverino,1,1,0,0
2024-2025,Apertura, Santos Laguna,172121,163704,Doménica Salome Rodríguez Vera,1,1,0,0
