Temporada, Torneo, Club,IDAFLDDRVD,NUI,NOMBRE,TA,TA_REGLAMENTO,TR,TRPC
2024-2025,Apertura, Club Tijuana,149220,143958,Mayra Alejandra Pelayo-bernal ,5,5,1,0
2024-2025,Apertura, Club Tijuana,130241,128340,Bibiana Guadalupe Quintos Galván,4,4,0,0
2024-2025,Apertura, Club Tijuana,150617,145198,Marta Alexandra Cox Villarreal ,3,3,0,0
2024-2025,Apertura, Club Tijuana,157981,152046,Bianca Esther Mora De La Torre,3,3,0,0
2024-2025,Apertura, Club Tijuana,173831,165163,Fabiola Villalobos Morales,3,3,0,0
2024-2025,Apertura, Club Tijuana,169757,159591,Daphne Melissa Herrera Monge,2,2,0,0
2024-2025,Apertura, Club Tijuana,124788,123692,Andrea González Salinas,1,1,0,0
2024-2025,Apertura, Club Tijuana,124832,123553,Daniela Carrandi Casillas,1,1,0,0
2024-2025,Apertura, Club Tijuana,124947,123734,Esmeralda Verdugo Romo,1,1,0,0
2024-2025,Apertura, Club Tijuana,129994,128473,Victoria López Quiñonez,1,1,0,0
2024-2025,Apertura, Club Tijuana,132041,130237,Alejandra Gutiérrez Carrillo,1,1,0,0
2024-2025,Apertura, Club Tijuana,136947,134380,Mariana Munguía Haros,1,1,0,0
2024-2025,Apertura, Club Tijuana,144849,140435,Mónica Rose Alvarado Rodríguez,1,1,0,0
2024-2025,Apertura, Club Tijuana,158607,152030,Ammanda Mariee Marroquin ,1,1,0,0
2024-2025,Apertura, Club Tijuana,164267,158854,Aisha Keshy Solórzano García,1,1,0,0
2024-2025,Apertura, Club Tijuana,176095,165435,Emily Sofia Alvarado Natividad,1,1,0,0
