Pos,Club,JJ,JG,JP,JE,GF,GC,Dif,Pts,Efec
1,Rayadas,17,13,1,3,41,11,30,42,82.35 %
2,Tigres,17,13,2,2,41,12,29,41,80.39 %
3,America,17,12,1,4,55,11,44,40,78.43 %
4,Pachuca,17,11,2,4,42,16,26,37,72.55 %
5,FC Juarez,17,10,5,2,32,14,18,32,62.75 %
6,Guadalajara,17,9,5,3,34,25,9,30,58.82 %
7,Pumas,17,9,6,2,33,31,2,29,56.86 %
8,Toluca,17,8,7,2,31,30,1,26,50.98 %
9,Tijuana,17,8,8,1,36,31,5,25,49.02 %
10,Queretaro,17,7,6,4,20,23,-3,25,49.02 %
11,Atlas,17,7,6,4,23,27,-4,25,49.02 %
12,Cruz Azul,17,6,9,2,25,27,-2,20,39.22 %
13,Leon,17,5,8,4,14,23,-9,19,37.25 %
14,Atletico de San Luis,17,2,11,4,15,41,-26,10,19.61 %
15,Mazatlan FC,17,3,13,1,14,55,-41,10,19.61 %
16,Puebla,17,2,12,3,13,29,-16,9,17.65 %
17,Santos Laguna,17,2,13,2,11,38,-27,8,15.69 %
18,Necaxa,17,2,14,1,8,44,-36,7,13.73 %
