Temporada,Torneo,Columna_1,Columna_2,Columna_3,Columna_4,Columna_5,Columna_6,Columna_7,Columna_8,Columna_9,Columna_10,Columna_11,Columna_12,Columna_13,Columna_14,Columna_15,Columna_16,Columna_17,Columna_18,Columna_19,Columna_20,Columna_21,Columna_22,Columna_23,Columna_24,Columna_25,Columna_26
2024-2025,Apertura,1,Rayadas,17,13,3,1,41,11,30,42,8,7,0,1,27,8,19,21,9,6,3,0,14,3,11,21
2024-2025,Apertura,2,Tigres,17,13,2,2,41,12,29,41,9,7,1,1,22,6,16,22,8,6,1,1,19,6,13,19
2024-2025,Apertura,3,América,17,12,4,1,55,11,44,40,8,5,3,0,26,5,21,18,9,7,1,1,29,6,23,22
2024-2025,Apertura,4,Pachuca,17,11,4,2,42,16,26,37,8,6,2,0,21,3,18,20,9,5,2,2,21,13,8,17
2024-2025,Apertura,5,FC Juárez,17,10,2,5,32,14,18,32,8,5,1,2,13,5,8,16,9,5,1,3,19,9,10,16
2024-2025,Apertura,6,Guadalajara,17,9,3,5,34,25,9,30,9,5,3,1,21,9,12,18,8,4,0,4,13,16,-3,12
2024-2025,Apertura,7,Pumas,17,9,2,6,33,31,2,29,9,5,1,3,16,12,4,16,8,4,1,3,17,19,-2,13
2024-2025,Apertura,8,Toluca,17,8,2,7,31,30,1,26,9,5,0,4,16,16,0,15,8,3,2,3,15,14,1,11
2024-2025,Apertura,9,Tijuana,17,8,1,8,36,31,5,25,9,6,0,3,22,11,11,18,8,2,1,5,14,20,-6,7
2024-2025,Apertura,10,Querétaro,17,7,4,6,20,23,-3,25,9,3,2,4,8,15,-7,11,8,4,2,2,12,8,4,14
2024-2025,Apertura,11,Atlas,17,7,4,6,23,27,-4,25,8,4,2,2,13,10,3,14,9,3,2,4,10,17,-7,11
2024-2025,Apertura,12,Cruz Azul,17,6,2,9,25,27,-2,20,8,4,2,2,16,12,4,14,9,2,0,7,9,15,-6,6
2024-2025,Apertura,13,León,17,5,4,8,14,23,-9,19,8,5,2,1,10,6,4,17,9,0,2,7,4,17,-13,2
2024-2025,Apertura,14,Atlético de San Luis,17,2,4,11,15,41,-26,10,9,2,1,6,11,22,-11,7,8,0,3,5,4,19,-15,3
2024-2025,Apertura,15,Mazatlán FC,17,3,1,13,14,55,-41,10,9,1,0,8,7,34,-27,3,8,2,1,5,7,21,-14,7
2024-2025,Apertura,16,Puebla,17,2,3,12,13,29,-16,9,8,2,2,4,9,10,-1,8,9,0,1,8,4,19,-15,1
2024-2025,Apertura,17,Santos Laguna,17,2,2,13,11,38,-27,8,9,2,2,5,8,14,-6,8,8,0,0,8,3,24,-21,0
2024-2025,Apertura,18,Necaxa,17,2,1,14,8,44,-36,7,8,1,0,7,3,21,-18,3,9,1,1,7,5,23,-18,4
2023-2024,Apertura,1,Tigres,17,14,2,1,51,11,40,44,9,8,0,1,27,7,20,24,8,6,2,0,24,4,20,20
2023-2024,Apertura,2,América,17,14,0,3,65,23,42,42,8,7,0,1,31,8,23,21,9,7,0,2,34,15,19,21
2023-2024,Apertura,3,Guadalajara,17,13,3,1,43,11,32,42,9,8,1,0,23,3,20,25,8,5,2,1,20,8,12,17
2023-2024,Apertura,4,Rayadas,17,11,5,1,41,13,28,38,8,5,3,0,21,7,14,18,9,6,2,1,20,6,14,20
2023-2024,Apertura,5,Tijuana,17,10,4,3,35,21,14,34,8,2,4,2,10,11,-1,10,9,8,0,1,25,10,15,24
2023-2024,Apertura,6,Toluca,17,9,3,5,28,26,2,30,8,5,2,1,16,8,8,17,9,4,1,4,12,18,-6,13
2023-2024,Apertura,7,Pachuca,17,8,3,6,42,31,11,27,8,6,0,2,23,13,10,18,9,2,3,4,19,18,1,9
2023-2024,Apertura,8,Pumas,17,8,2,7,37,27,10,26,8,7,0,1,28,10,18,21,9,1,2,6,9,17,-8,5
2023-2024,Apertura,9,FC Juárez,17,7,5,5,28,23,5,26,9,4,3,2,15,10,5,15,8,3,2,3,13,13,0,11
2023-2024,Apertura,10,León,17,7,2,8,20,30,-10,23,9,5,1,3,14,13,1,16,8,2,1,5,6,17,-11,7
2023-2024,Apertura,11,Cruz Azul,17,7,1,9,25,32,-7,22,9,5,0,4,19,18,1,15,8,2,1,5,6,14,-8,7
2023-2024,Apertura,12,Querétaro,17,6,3,8,25,28,-3,21,8,3,2,3,12,11,1,11,9,3,1,5,13,17,-4,10
2023-2024,Apertura,13,Atlas,17,5,3,9,20,32,-12,18,8,4,1,3,12,14,-2,13,9,1,2,6,8,18,-10,5
2023-2024,Apertura,14,Puebla,17,4,2,11,19,42,-23,14,8,3,2,3,13,19,-6,11,9,1,0,8,6,23,-17,3
2023-2024,Apertura,15,Atlético de San Luis,17,3,3,11,17,34,-17,12,9,3,1,5,10,12,-2,10,8,0,2,6,7,22,-15,2
2023-2024,Apertura,16,Necaxa,17,2,2,13,10,44,-34,8,9,1,2,6,7,19,-12,5,8,1,0,7,3,25,-22,3
