Pos,Jugador,Club,G,MJ,ANOTA CADA,NACIONALIDAD
1º,Verónica Charlyn Corral,Pachuca,18,1530,85.00 min,Mexicano
2º,Aisha Keshy Solórzano,Tijuana,16,1385,86.56 min,Guatemalteco
3º,Lizbeth Jacqueline Ovalle,Tigres,15,1251,83.40 min,Mexicano
4º,Kiana Angélica Palacios,América,13,1141,87.77 min,Mexicano
5º,Alicia Cervantes,Guadalajara,11,1490,135.45 min,Mexicano
6º,Stephanie Mariana Ribeiro,Pumas,11,1033,93.91 min,Estadounidense
7º,Sarah Jacquelyn Luebbert,América,10,1113,111.30 min,Estadounidense
8º,Christina Marie Burkenroad,Rayadas,9,801,89.00 min,Mexicano
9º,Chinwendu Verónica Ihezuo,Pachuca,9,1073,119.22 min,Nigeriano
10º,María Paula Salas,Atlas,9,1211,134.56 min,Costarricense
11º,Mariel Román,Toluca,8,1278,159.75 min,Mexicano
12º,Jasmine Alexis Casarez,FC Juárez,7,1077,153.86 min,Mexicano
13º,Dania Nicole Pérez,Rayadas,6,959,159.83 min,Mexicano
14º,Michaela Batya Bisi Abam,Toluca,6,1084,180.67 min,Estadounidense
15º,Cinthya Peraza,Toluca,6,1417,236.17 min,Mexicano
16º,Enekia Kasonga Lunyamila,Mazatlán FC,6,1067,177.83 min,Tanzano
17º,Lucía García,Rayadas,5,732,146.40 min,Español
18º,Scarlett Nefer Camberos,América,5,758,151.60 min,Mexicano
19º,Irene Guerrero,América,5,1209,241.80 min,Español
20º,Aerial Lynndonna Chavarin,Pumas,5,1158,231.60 min,Estadounidense
21º,Edna Fabiola Santamaria,Querétaro,5,1258,251.60 min,Mexicano
22º,Marcia Paola García,Atlas,5,774,154.80 min,Mexicano
23º,Ana Lucia Martínez,Rayadas,4,662,165.50 min,Guatemalteco
24º,Chrestinah Thembi Kgatlana,Tigres,4,1010,252.50 min,Sudafricano
25º,Dayana Milan Martin,FC Juárez,4,370,92.50 min,Estadounidense
26º,Janelly Farias,FC Juárez,4,1209,302.25 min,Mexicano
27º,Adriana Iturbide,Guadalajara,4,459,114.75 min,Mexicano
28º,Gabriela Valenzuela,Guadalajara,4,1191,297.75 min,Mexicano
29º,Deneisha Selena Blackwood,Pumas,4,1354,338.50 min,Jamaiquino
30º,Wendis Jhoana Cabrera,Querétaro,4,610,152.50 min,Colombiano
31º,Dalia Isabel Molina,Cruz Azul,4,1261,315.25 min,Mexicano
32º,María Fernanda Sánchez,Atlético de San Luis,4,1310,327.50 min,Mexicano
33º,Allison Rose Veloz,Necaxa,4,1182,295.50 min,Estadounidense
34º,Jermaine Seoposenwe,Rayadas,3,683,227.67 min,Sudafricano
35º,Ana Inés Costa Mendes,Tigres,3,543,181.00 min,Portugués
36º,Alison Hecnary González,Tigres,3,669,223.00 min,Mexicano
37º,Jennifer Hermoso,Tigres,3,712,237.33 min,Español
38º,Priscila Flor Da Silva,América,3,315,105.00 min,Brasileño
39º,María Natalia Mauleon,América,3,438,146.00 min,Mexicano
40º,Angelique Montserrat Saldivar,América,3,508,169.33 min,Mexicano
41º,Aylin Ariana Aviléz,América,3,524,174.67 min,Mexicano
42º,Karen Irasema Luna,América,3,1222,407.33 min,Mexicano
43º,Grace Asantewaa,FC Juárez,3,1207,402.33 min,Ghanés
44º,Annia Stephany Mejía,FC Juárez,3,1347,449.00 min,Mexicano
45º,Christian Carolina Jaramillo,Guadalajara,3,907,302.33 min,Mexicano
46º,Dorian Montserrat Hernández,Guadalajara,3,1015,338.33 min,Mexicano
47º,Sindia Anahi Arteaga,Pumas,3,675,225.00 min,Mexicano
48º,Amandine Henry,Toluca,3,634,211.33 min,Francés
49º,Brenda Woch Da Graca,Toluca,3,1296,432.00 min,Brasileño
50º,Daniela Espinosa,Tijuana,3,820,273.33 min,Mexicano
51º,Mayra Alejandra Pelayo-bernal,Tijuana,3,1088,362.67 min,Mexicano
52º,Dulce Maria Alvarado,Querétaro,3,402,134.00 min,Mexicano
53º,Solange Lemos,Querétaro,3,1468,489.33 min,Uruguayo
54º,Ximena Elizabeth Rios,Cruz Azul,3,909,303.00 min,Mexicano
55º,Danielle Marie Fuentes,Cruz Azul,3,1163,387.67 min,Estadounidense
56º,Lizbeth Ángeles,León,3,940,313.33 min,Mexicano
57º,María Cristina Montaño,Mazatlán FC,3,1382,460.67 min,Mexicano
58º,Sandra Nabweteme,Santos Laguna,3,296,98.67 min,Ugandés
59º,Katty Martínez,Rayadas,2,614,307.00 min,Mexicano
60º,Diana Laura García,Rayadas,2,1031,515.50 min,Mexicano
61º,Rebeca Bernal,Rayadas,2,1210,605.00 min,Mexicano
62º,Tanna Sánchez,Rayadas,2,1247,623.50 min,Mexicano
63º,Maricarmen Reyes,Tigres,2,840,420.00 min,Mexicano
64º,Sandra Stephany Mayor,Tigres,2,1087,543.50 min,Mexicano
65º,Nicolette Andrea Hernández,América,2,841,420.50 min,Mexicano
66º,Kimberly Vanessa Rodríguez,América,2,849,424.50 min,Mexicano
67º,Nina Dominique Nicosia,Pachuca,2,475,237.50 min,Mexicano
68º,Mónica Ocampo,Pachuca,2,734,367.00 min,Mexicano
69º,Ohale Osinachi,Pachuca,2,1253,626.50 min,Nigeriano
70º,Prisca Chilufya,FC Juárez,2,1003,501.50 min,Zambiano
71º,Liliana Mercado,FC Juárez,2,1134,567.00 min,Mexicano
72º,Karime Abud,FC Juárez,2,1448,724.00 min,Mexicano
73º,Esbeydi Viridiana Salazar,Guadalajara,2,1112,556.00 min,Mexicano
