"table_name","column_name","data_type","column_comment"
"lbf_fair_play","temporada","character varying","Año en que ocurrió el torneo"
"lbf_fair_play","torneo","character varying","Torneo, si fue Apertura o Clausura"
"lbf_fair_play","club","character varying","Nombre del club"
"lbf_fair_play","tarjeta_amarilla","integer","Número de tarjetas amarillas obtenidas"
"lbf_fair_play","puntos_tarjeta_amarilla","integer","Puntos acumulados por sus tarjetas amarillas"
"lbf_fair_play","tarjeta_roja_x_segunda_amarilla","integer","Número de tarjetas rojas por segunda amarilla"
"lbf_fair_play","puntos_tarjeta_roja_x_2da_amarilla","integer","Puntos acumulados por tarjeta roja debido a segunda amarilla"
"lbf_fair_play","tarjeta_roja_directa","integer","Número de tarjetas rojas"
"lbf_fair_play","puntos_tarjeta_roja_directa","integer","Puntos acumulados por tarjetas rojas directas"
"lbf_fair_play","total_puntos","integer","Puntos acumulados debido a su acumulación de tarjetas en general"
"lbf_goleo","temporada","character varying","Año en que ocurrió el torneo"
"lbf_goleo","torneo","character varying","Torneo, si fue Apertura o Clausura"
"lbf_goleo","fase","character varying","Si fue fase regular o fase final del torneo"
"lbf_goleo","posicion","character varying","Posición en la tabla de goleo"
"lbf_goleo","jugador","character varying","Nombre de la jugadora"
"lbf_goleo","club","character varying","Nombre del club"
"lbf_goleo","goles","integer","Número de goles anotados por la jugadora"
"lbf_goleo","mj","integer","Minutos jugados"
"lbf_goleo","anota_cada","character varying","Lapso en minutos en el que en promedio anota la jugadora"
"lbf_goleo","nacionalidad","character varying","Nacionalidad de la jugadora"
"lbf_goleo_hist","temporada","character varying","Año en que ocurrió el torneo"
"lbf_goleo_hist","torneo","character varying","Torneo, si fue Apertura o Clausura"
"lbf_goleo_hist","pos","integer","Posición en la tabla goleadora"
"lbf_goleo_hist","jugador","character varying","Nombre de la jugadora"
"lbf_goleo_hist","club","character varying","Nombre del club"
"lbf_goleo_hist","goles","integer","Número de goles anotados por la jugadora"
"lbf_goleo_hist","mj","integer","Minutos jugados"
"lbf_historical_stats","temporada","character varying","Año en que ocurrió el torneo"
"lbf_historical_stats","torneo","character varying","Torneo, si fue Apertura o Clausura"
"lbf_historical_stats","posicion","integer","Posición de la jugadora dentro del campo"
"lbf_historical_stats","club","character varying","Nombre del club"
"lbf_historical_stats","jj","integer","Juegos jugados"
"lbf_historical_stats","jg","integer","Juegos ganados"
"lbf_historical_stats","je","integer","Juegos empatados"
"lbf_historical_stats","jp","integer","Juegos perdidos"
"lbf_historical_stats","gf","integer","Goles a favor"
"lbf_historical_stats","gc","integer","Goles en contra"
"lbf_historical_stats","dif","integer","Diferencia de goles"
"lbf_historical_stats","pts","integer","Puntos acumulados en la tabla"
"lbf_historical_stats","jj2","integer","Juegos jugados como local"
"lbf_historical_stats","jg2","integer","Juegos ganados como local"
"lbf_historical_stats","je2","integer","Juegos empatados como local"
"lbf_historical_stats","jp2","integer","Juegos perdidos como local"
"lbf_historical_stats","gf2","integer","Goles a favor como local"
"lbf_historical_stats","gc2","integer","Goles en contra como local"
"lbf_historical_stats","dif2","integer","Diferencia de goles como local"
"lbf_historical_stats","pts2","integer","Puntos acumulados en la tabla como local"
"lbf_historical_stats","jj3","integer","Juegos jugados como visita"
"lbf_historical_stats","jg3","integer","Juegos ganados como visita"
"lbf_historical_stats","je3","integer","Juegos empatados como visita"
"lbf_historical_stats","jp3","integer","Juegos perdidos como visita"
"lbf_historical_stats","gf3","integer","Goles a favor como visita"
"lbf_historical_stats","gc3","integer","Goles en contra como visita"
"lbf_historical_stats","dif3","integer","Diferencia de goles como visita"
"lbf_historical_stats","pts3","integer","Puntos acumulados en la tabla como visita"
"lbf_participacion_menores","temporada","character varying","Año en que ocurrió el torneo"
"lbf_participacion_menores","torneo","character varying","Torneo, si fue Apertura o Clausura"
"lbf_participacion_menores","club","character varying","Nombre del club"
"lbf_participacion_menores","menores_alineadas","integer","Número de menores alineadas en el equipo"
"lbf_participacion_menores","minutos","integer","Minutos que se les permitió jugar"
"lbf_participacion_menores","menores_seleccionadas","integer",NULL
"lbf_participacion_menores","minutos_acumulados","integer",NULL
"lbf_participacion_menores","menores_que_acumularon","integer",NULL
"lbf_participacion_menores","minutos_acumulados_2","integer","Minutos acumulados de alinear menores por equipo"
"lbf_participacion_menores","minutos_al_reglamento","integer","Minutos acumulados según el reglamento"
"lbf_participacion_menores","minutos_por_cumplir","character varying","Si cumplió el equipo con la regla de minutos a menores"
"lbf_partidos_hist","temporada","character varying","Temporada en la que se jugó el partido"
"lbf_partidos_hist","torneo","character varying","Nombre del torneo en el que se disputó el partido"
"lbf_partidos_hist","detalle","character varying","Detalles adicionales del partido"
"lbf_partidos_hist","marcador","character varying","Resultado del partido"
"lbf_partidos_hist","locacion","character varying","Ubicación donde se jugó el partido"
"lbf_partidos_hist","equipos","character varying","Equipos que participaron en el partido"
"lbf_tarjetas_club","temporada","character varying","Año en que ocurrió el torneo"
"lbf_tarjetas_club","torneo","character varying","Torneo, si fue Apertura o Clausura"
"lbf_tarjetas_club","tipo","character varying","Si fue fase regular o fase final del torneo"
"lbf_tarjetas_club","tarjeta","character varying","Si es tarjeta amarilla o tarjeta roja"
"lbf_tarjetas_club","club","character varying","Nombre del club"
"lbf_tarjetas_club","total_tarjetas","integer","Total de tarjetas acumuladas en el torneo"
"lbf_tarjetas_club","porcentaje_x_club","numeric","Porcentaje de tarjetas por club"
"lbf_tarjetas_club","promedio_x_minutos","numeric","En promedio cada cuántos minutos obtienen una tarjeta"
"lbf_tarjetas_club","promedio_x_partido","numeric","Número de tarjetas en promedio por partido"
"lbf_tarjetas_jugadora","temporada","character varying","Año en que ocurrió el torneo"
"lbf_tarjetas_jugadora","torneo","character varying","Torneo, si fue Apertura o Clausura"
"lbf_tarjetas_jugadora","club","character varying","Nombre del club"
"lbf_tarjetas_jugadora","idaflddrvd","character varying","ID identificador del row"
"lbf_tarjetas_jugadora","nui","character varying","ID identificador de la jugadora"
"lbf_tarjetas_jugadora","nombre","character varying","Nombre de la jugadora"
"lbf_tarjetas_jugadora","ta","integer","Número de tarjetas amarillas"
"lbf_tarjetas_jugadora","ta_reglamento","integer","No tomar en cuenta"
"lbf_tarjetas_jugadora","tr","integer","Número de tarjetas rojas"
"lbf_tarjetas_jugadora","trpc","integer","No tomar en cuenta"
