Temporada,Torneo,Columna_3,Columna_4,Columna_5,Columna_6,Columna_7,Columna_8,Columna_9,Columna_10,Columna_11,Columna_12,Columna_13
2024-2025,Clausura,"{'type': 'text', 'value': 'Viernes 3 de Enero de 2025\nTemporada 2024-2025\nTorneo Clausura\nJornada 1\n3 Enero 2025 - 19:00 hrs.'}","{'type': 'link', 'href': 'https://www.ligafemenil.mx/cancha/club/11245/atlas', 'text': ''}","{'type': 'link', 'href': 'https://www.ligafemenil.mx/cancha/informeArbitral/144853/eyJpZENsdWJsb2NhbCI6MTEyNDUsImlkQ2x1YnZpc2l0YSI6MTExOTJ9/informe-arbitral-atlas-vs-santos-laguna-jornada-1-estadio-jalisco-calientemx', 'text': '1 - 3'}","{'type': 'link', 'href': 'https://www.ligafemenil.mx/cancha/club/11192/santos-laguna', 'text': ''}","{'type': 'link', 'href': 'https://www.ligafemenil.mx/cancha/estadio/5/estadio-jalisco', 'text': 'Jalisco'}","{'type': 'link', 'href': 'https://www.ligafemenil.mx/cancha/mxm/144853/eyJpZENsdWJsb2NhbCI6IjExMjQ1IiwiaWRDbHVidmlzaXRhIjoiMTExOTIiLCJpZFBhcnRpZG8iOiIxNDQ4NTMiLCJwZXN0YW5hIjoiMSJ9/minuto-a-minuto-atlas-vs-santos-laguna-jornada-1-estadio-jalisco-calientemx', 'text': ''}","{'type': 'link', 'href': 'https://www.ligafemenil.mx/cancha/mxm/144853/eyJpZENsdWJsb2NhbCI6IjExMjQ1IiwiaWRDbHVidmlzaXRhIjoiMTExOTIiLCJpZFBhcnRpZG8iOiIxNDQ4NTMiLCJwZXN0YW5hIjoiMyJ9/minuto-a-minuto-atlas-vs-santos-laguna-jornada-1-estadio-jalisco-calientemx', 'text': ''}","{'type': 'link', 'href': 'https://www.ligafemenil.mx/cancha/informeArbitral/144853/eyJpZENsdWJsb2NhbCI6IjExMjQ1IiwiaWRDbHVidmlzaXRhIjoiMTExOTIifQ==/informe-arbitral-atlas-vs-santos-laguna-jornada-1-estadio-jalisco-calientemx', 'text': ''}","{'type': 'link', 'href': 'https://www.ligafemenil.mx/cancha/mxm/144853/eyJpZENsdWJsb2NhbCI6IjExMjQ1IiwiaWRDbHVidmlzaXRhIjoiMTExOTIiLCJpZFBhcnRpZG8iOiIxNDQ4NTMiLCJwZXN0YW5hIjoiNCJ9/minuto-a-minuto-atlas-vs-santos-laguna-jornada-1-estadio-jalisco-calientemx', 'text': ''}","{'type': 'link', 'href': 'https://www.ligafemenil.mx/cancha/galeria/MTQ0ODUzLzEvNzUvMi8xNA==/atlas-vs-santos-laguna', 'text': ''}","{'type': 'link', 'href': 'https://www.ligafemenil.mx/cancha/playlist/144853/atlas-vs-santos-laguna', 'text': ''}"
2024-2025,Clausura,"{'type': 'text', 'value': 'Sábado 4 de Enero de 2025\nTemporada 2024-2025\nTorneo Clausura\nJornada 1\n4 Enero 2025 - 12:00 hrs.'}","{'type': 'link', 'href': 'https://www.ligafemenil.mx/cancha/club/11188/pumas', 'text': ''}","{'type': 'link', 'href': 'https://www.ligafemenil.mx/cancha/informeArbitral/144854/eyJpZENsdWJsb2NhbCI6MTExODgsImlkQ2x1YnZpc2l0YSI6MTE3Nzh9/informe-arbitral-pumas-vs-club-atletico-de-san-luis-jornada-1-estadio-olimpico-universitario-lmxf-tv--vix', 'text': '2 - 0'}","{'type': 'link', 'href': 'https://www.ligafemenil.mx/cancha/club/11778/club-atletico-de-san-luis', 'text': ''}","{'type': 'link', 'href': 'https://www.ligafemenil.mx/cancha/estadio/7/estadio-olimpico-universitario', 'text': 'Olímpico Universitario'}","{'type': 'link', 'href': 'https://www.ligafemenil.mx/cancha/mxm/144854/eyJpZENsdWJsb2NhbCI6IjExMTg4IiwiaWRDbHVidmlzaXRhIjoiMTE3NzgiLCJpZFBhcnRpZG8iOiIxNDQ4NTQiLCJwZXN0YW5hIjoiMSJ9/minuto-a-minuto-pumas-vs-club-atletico-de-san-luis-jornada-1-estadio-olimpico-universitario-lmxf-tv--vix', 'text': ''}","{'type': 'link', 'href': 'https://www.ligafemenil.mx/cancha/mxm/144854/eyJpZENsdWJsb2NhbCI6IjExMTg4IiwiaWRDbHVidmlzaXRhIjoiMTE3NzgiLCJpZFBhcnRpZG8iOiIxNDQ4NTQiLCJwZXN0YW5hIjoiMyJ9/minuto-a-minuto-pumas-vs-club-atletico-de-san-luis-jornada-1-estadio-olimpico-universitario-lmxf-tv--vix', 'text': ''}","{'type': 'link', 'href': 'https://www.ligafemenil.mx/cancha/informeArbitral/144854/eyJpZENsdWJsb2NhbCI6IjExMTg4IiwiaWRDbHVidmlzaXRhIjoiMTE3NzgifQ==/informe-arbitral-pumas-vs-club-atletico-de-san-luis-jornada-1-estadio-olimpico-universitario-lmxf-tv--vix', 'text': ''}","{'type': 'link', 'href': 'https://www.ligafemenil.mx/cancha/mxm/144854/eyJpZENsdWJsb2NhbCI6IjExMTg4IiwiaWRDbHVidmlzaXRhIjoiMTE3NzgiLCJpZFBhcnRpZG8iOiIxNDQ4NTQiLCJwZXN0YW5hIjoiNCJ9/minuto-a-minuto-pumas-vs-club-atletico-de-san-luis-jornada-1-estadio-olimpico-universitario-lmxf-tv--vix', 'text': ''}","{'type': 'link', 'href': 'https://www.ligafemenil.mx/cancha/galeria/MTQ0ODU0LzEvNzUvMi8xNA==/pumas-vs-club-atletico-de-san-luis', 'text': ''}","{'type': 'link', 'href': 'https://www.ligafemenil.mx/cancha/playlist/144854/pumas-vs-club-atletico-de-san-luis', 'text': ''}"
2024-2025,Clausura,"{'type': 'text', 'value': 'Domingo 5 de Enero de 2025\nTemporada 2024-2025\nTorneo Clausura\nJornada 1\n5 Enero 2025 - 19:00 hrs.'}","{'type': 'link', 'href': 'https://www.ligafemenil.mx/cancha/club/11243/leon', 'text': ''}","{'type': 'link', 'href': 'https://www.ligafemenil.mx/cancha/informeArbitral/144859/eyJpZENsdWJsb2NhbCI6MTEyNDMsImlkQ2x1YnZpc2l0YSI6MTExODd9/informe-arbitral-leon-vs-toluca-jornada-1-estadio-nou-camp-fox-sports', 'text': '1 - 1'}","{'type': 'link', 'href': 'https://www.ligafemenil.mx/cancha/club/11187/toluca', 'text': ''}","{'type': 'link', 'href': 'https://www.ligafemenil.mx/cancha/estadio/23/estadio-nou-camp', 'text': 'Nou Camp'}","{'type': 'link', 'href': 'https://www.ligafemenil.mx/cancha/mxm/144859/eyJpZENsdWJsb2NhbCI6IjExMjQzIiwiaWRDbHVidmlzaXRhIjoiMTExODciLCJpZFBhcnRpZG8iOiIxNDQ4NTkiLCJwZXN0YW5hIjoiMSJ9/minuto-a-minuto-leon-vs-toluca-jornada-1-estadio-nou-camp-fox-sports', 'text': ''}","{'type': 'link', 'href': 'https://www.ligafemenil.mx/cancha/mxm/144859/eyJpZENsdWJsb2NhbCI6IjExMjQzIiwiaWRDbHVidmlzaXRhIjoiMTExODciLCJpZFBhcnRpZG8iOiIxNDQ4NTkiLCJwZXN0YW5hIjoiMyJ9/minuto-a-minuto-leon-vs-toluca-jornada-1-estadio-nou-camp-fox-sports', 'text': ''}","{'type': 'link', 'href': 'https://www.ligafemenil.mx/cancha/informeArbitral/144859/eyJpZENsdWJsb2NhbCI6IjExMjQzIiwiaWRDbHVidmlzaXRhIjoiMTExODcifQ==/informe-arbitral-leon-vs-toluca-jornada-1-estadio-nou-camp-fox-sports', 'text': ''}","{'type': 'link', 'href': 'https://www.ligafemenil.mx/cancha/mxm/144859/eyJpZENsdWJsb2NhbCI6IjExMjQzIiwiaWRDbHVidmlzaXRhIjoiMTExODciLCJpZFBhcnRpZG8iOiIxNDQ4NTkiLCJwZXN0YW5hIjoiNCJ9/minuto-a-minuto-leon-vs-toluca-jornada-1-estadio-nou-camp-fox-sports', 'text': ''}","{'type': 'link', 'href': 'https://www.ligafemenil.mx/cancha/galeria/MTQ0ODU5LzEvNzUvMi8xNA==/leon-vs-toluca', 'text': ''}","{'type': 'link', 'href': 'https://www.ligafemenil.mx/cancha/playlist/144859/leon-vs-toluca', 'text': ''}"
2024-2025,Clausura,"{'type': 'text', 'value': 'Domingo 5 de Enero de 2025\nTemporada 2024-2025\nTorneo Clausura\nJornada 1\n5 Enero 2025 - 20:06 hrs.'}","{'type': 'link', 'href': 'https://www.ligafemenil.mx/cancha/club/12051/mazatlan-fc', 'text': ''}","{'type': 'link', 'href': 'https://www.ligafemenil.mx/cancha/informeArbitral/144864/eyJpZENsdWJsb2NhbCI6MTIwNTEsImlkQ2x1YnZpc2l0YSI6MTExODV9/informe-arbitral-mazatlan-fc-vs-rayados-de-monterrey-jornada-1-estadio-el-encanto-fox-sports', 'text': '0 - 7'}","{'type': 'link', 'href': 'https://www.ligafemenil.mx/cancha/club/11185/rayados-de-monterrey', 'text': ''}","{'type': 'link', 'href': 'https://www.ligafemenil.mx/cancha/estadio/1931/estadio-el-encanto', 'text': 'El Encanto'}","{'type': 'link', 'href': 'https://www.ligafemenil.mx/cancha/mxm/144864/eyJpZENsdWJsb2NhbCI6IjEyMDUxIiwiaWRDbHVidmlzaXRhIjoiMTExODUiLCJpZFBhcnRpZG8iOiIxNDQ4NjQiLCJwZXN0YW5hIjoiMSJ9/minuto-a-minuto-mazatlan-fc-vs-rayados-de-monterrey-jornada-1-estadio-el-encanto-fox-sports', 'text': ''}","{'type': 'link', 'href': 'https://www.ligafemenil.mx/cancha/mxm/144864/eyJpZENsdWJsb2NhbCI6IjEyMDUxIiwiaWRDbHVidmlzaXRhIjoiMTExODUiLCJpZFBhcnRpZG8iOiIxNDQ4NjQiLCJwZXN0YW5hIjoiMyJ9/minuto-a-minuto-mazatlan-fc-vs-rayados-de-monterrey-jornada-1-estadio-el-encanto-fox-sports', 'text': ''}","{'type': 'link', 'href': 'https://www.ligafemenil.mx/cancha/informeArbitral/144864/eyJpZENsdWJsb2NhbCI6IjEyMDUxIiwiaWRDbHVidmlzaXRhIjoiMTExODUifQ==/informe-arbitral-mazatlan-fc-vs-rayados-de-monterrey-jornada-1-estadio-el-encanto-fox-sports', 'text': ''}","{'type': 'link', 'href': 'https://www.ligafemenil.mx/cancha/mxm/144864/eyJpZENsdWJsb2NhbCI6IjEyMDUxIiwiaWRDbHVidmlzaXRhIjoiMTExODUiLCJpZFBhcnRpZG8iOiIxNDQ4NjQiLCJwZXN0YW5hIjoiNCJ9/minuto-a-minuto-mazatlan-fc-vs-rayados-de-monterrey-jornada-1-estadio-el-encanto-fox-sports', 'text': ''}","{'type': 'link', 'href': 'https://www.ligafemenil.mx/cancha/galeria/MTQ0ODY0LzEvNzUvMi8xNA==/mazatlan-fc-vs-rayados-de-monterrey', 'text': ''}","{'type': 'link', 'href': 'https://www.ligafemenil.mx/cancha/playlist/144864/mazatlan-fc-vs-rayados-de-monterrey', 'text': ''}"
2024-2025,Clausura,"{'type': 'text', 'value': 'Lunes 6 de Enero de 2025\nTemporada 2024-2025\nTorneo Clausura\nJornada 1\n6 Enero 2025 - 17:00 hrs.'}","{'type': 'link', 'href': 'https://www.ligafemenil.mx/cancha/club/11189/necaxa', 'text': ''}","{'type': 'link', 'href': 'https://www.ligafemenil.mx/cancha/informeArbitral/144867/eyJpZENsdWJsb2NhbCI6MTExODksImlkQ2x1YnZpc2l0YSI6MTExODJ9/informe-arbitral-necaxa-vs-guadalajara-jornada-1-estadio-victoria-lmxf-tv--vix', 'text': '0 - 3'}","{'type': 'link', 'href': 'https://www.ligafemenil.mx/cancha/club/11182/guadalajara', 'text': ''}","{'type': 'link', 'href': 'https://www.ligafemenil.mx/cancha/estadio/15/estadio-victoria', 'text': 'Victoria'}","{'type': 'link', 'href': 'https://www.ligafemenil.mx/cancha/mxm/144867/eyJpZENsdWJsb2NhbCI6IjExMTg5IiwiaWRDbHVidmlzaXRhIjoiMTExODIiLCJpZFBhcnRpZG8iOiIxNDQ4NjciLCJwZXN0YW5hIjoiMSJ9/minuto-a-minuto-necaxa-vs-guadalajara-jornada-1-estadio-victoria-lmxf-tv--vix', 'text': ''}","{'type': 'link', 'href': 'https://www.ligafemenil.mx/cancha/mxm/144867/eyJpZENsdWJsb2NhbCI6IjExMTg5IiwiaWRDbHVidmlzaXRhIjoiMTExODIiLCJpZFBhcnRpZG8iOiIxNDQ4NjciLCJwZXN0YW5hIjoiMyJ9/minuto-a-minuto-necaxa-vs-guadalajara-jornada-1-estadio-victoria-lmxf-tv--vix', 'text': ''}","{'type': 'link', 'href': 'https://www.ligafemenil.mx/cancha/informeArbitral/144867/eyJpZENsdWJsb2NhbCI6IjExMTg5IiwiaWRDbHVidmlzaXRhIjoiMTExODIifQ==/informe-arbitral-necaxa-vs-guadalajara-jornada-1-estadio-victoria-lmxf-tv--vix', 'text': ''}","{'type': 'link', 'href': 'https://www.ligafemenil.mx/cancha/mxm/144867/eyJpZENsdWJsb2NhbCI6IjExMTg5IiwiaWRDbHVidmlzaXRhIjoiMTExODIiLCJpZFBhcnRpZG8iOiIxNDQ4NjciLCJwZXN0YW5hIjoiNCJ9/minuto-a-minuto-necaxa-vs-guadalajara-jornada-1-estadio-victoria-lmxf-tv--vix', 'text': ''}","{'type': 'link', 'href': 'https://www.ligafemenil.mx/cancha/galeria/MTQ0ODY3LzEvNzUvMi8xNA==/necaxa-vs-guadalajara', 'text': ''}","{'type': 'link', 'href': 'https://www.ligafemenil.mx/cancha/playlist/144867/necaxa-vs-guadalajara', 'text': ''}"
2024-2025,Clausura,"{'type': 'text', 'value': 'Lunes 6 de Enero de 2025\nTemporada 2024-2025\nTorneo Clausura\nJornada 1\n6 Enero 2025 - 17:00 hrs.'}","{'type': 'link', 'href': 'https://www.ligafemenil.mx/cancha/club/12042/gallos-blancos-de-queretaro', 'text': ''}","{'type': 'link', 'href': 'https://www.ligafemenil.mx/cancha/informeArbitral/144852/eyJpZENsdWJsb2NhbCI6MTIwNDIsImlkQ2x1YnZpc2l0YSI6MTExODR9/informe-arbitral-gallos-blancos-de-queretaro-vs-pachuca-jornada-1-estadio-la-corregidora-calientemx', 'text': '1 - 7'}","{'type': 'link', 'href': 'https://www.ligafemenil.mx/cancha/club/11184/pachuca', 'text': ''}","{'type': 'link', 'href': 'https://www.ligafemenil.mx/cancha/estadio/25/estadio-la-corregidora', 'text': 'La Corregidora'}","{'type': 'link', 'href': 'https://www.ligafemenil.mx/cancha/mxm/144852/eyJpZENsdWJsb2NhbCI6IjEyMDQyIiwiaWRDbHVidmlzaXRhIjoiMTExODQiLCJpZFBhcnRpZG8iOiIxNDQ4NTIiLCJwZXN0YW5hIjoiMSJ9/minuto-a-minuto-gallos-blancos-de-queretaro-vs-pachuca-jornada-1-estadio-la-corregidora-calientemx', 'text': ''}","{'type': 'link', 'href': 'https://www.ligafemenil.mx/cancha/mxm/144852/eyJpZENsdWJsb2NhbCI6IjEyMDQyIiwiaWRDbHVidmlzaXRhIjoiMTExODQiLCJpZFBhcnRpZG8iOiIxNDQ4NTIiLCJwZXN0YW5hIjoiMyJ9/minuto-a-minuto-gallos-blancos-de-queretaro-vs-pachuca-jornada-1-estadio-la-corregidora-calientemx', 'text': ''}","{'type': 'link', 'href': 'https://www.ligafemenil.mx/cancha/informeArbitral/144852/eyJpZENsdWJsb2NhbCI6IjEyMDQyIiwiaWRDbHVidmlzaXRhIjoiMTExODQifQ==/informe-arbitral-gallos-blancos-de-queretaro-vs-pachuca-jornada-1-estadio-la-corregidora-calientemx', 'text': ''}","{'type': 'link', 'href': 'https://www.ligafemenil.mx/cancha/mxm/144852/eyJpZENsdWJsb2NhbCI6IjEyMDQyIiwiaWRDbHVidmlzaXRhIjoiMTExODQiLCJpZFBhcnRpZG8iOiIxNDQ4NTIiLCJwZXN0YW5hIjoiNCJ9/minuto-a-minuto-gallos-blancos-de-queretaro-vs-pachuca-jornada-1-estadio-la-corregidora-calientemx', 'text': ''}","{'type': 'link', 'href': 'https://www.ligafemenil.mx/cancha/galeria/MTQ0ODUyLzEvNzUvMi8xNA==/gallos-blancos-de-queretaro-vs-pachuca', 'text': ''}","{'type': 'link', 'href': 'https://www.ligafemenil.mx/cancha/playlist/144852/gallos-blancos-de-queretaro-vs-pachuca', 'text': ''}"
2024-2025,Clausura,"{'type': 'text', 'value': 'Lunes 6 de Enero de 2025\nTemporada 2024-2025\nTorneo Clausura\nJornada 1\n6 Enero 2025 - 18:00 hrs.'}","{'type': 'link', 'href': 'https://www.ligafemenil.mx/cancha/club/11795/fc-juarez', 'text': ''}","{'type': 'link', 'href': 'https://www.ligafemenil.mx/cancha/informeArbitral/144872/eyJpZENsdWJsb2NhbCI6MTE3OTUsImlkQ2x1YnZpc2l0YSI6MTE1NDN9/informe-arbitral-fc-juarez-vs-puebla-fc-jornada-1-estadio-olimpico-benito-juarez-youtube', 'text': '3 - 0'}","{'type': 'link', 'href': 'https://www.ligafemenil.mx/cancha/club/11543/puebla-fc', 'text': ''}","{'type': 'link', 'href': 'https://www.ligafemenil.mx/cancha/estadio/17/estadio-olimpico-benito-juarez', 'text': 'Olímpico Benito Juárez'}","{'type': 'link', 'href': 'https://www.ligafemenil.mx/cancha/mxm/144872/eyJpZENsdWJsb2NhbCI6IjExNzk1IiwiaWRDbHVidmlzaXRhIjoiMTE1NDMiLCJpZFBhcnRpZG8iOiIxNDQ4NzIiLCJwZXN0YW5hIjoiMSJ9/minuto-a-minuto-fc-juarez-vs-puebla-fc-jornada-1-estadio-olimpico-benito-juarez-youtube', 'text': ''}","{'type': 'link', 'href': 'https://www.ligafemenil.mx/cancha/mxm/144872/eyJpZENsdWJsb2NhbCI6IjExNzk1IiwiaWRDbHVidmlzaXRhIjoiMTE1NDMiLCJpZFBhcnRpZG8iOiIxNDQ4NzIiLCJwZXN0YW5hIjoiMyJ9/minuto-a-minuto-fc-juarez-vs-puebla-fc-jornada-1-estadio-olimpico-benito-juarez-youtube', 'text': ''}","{'type': 'link', 'href': 'https://www.ligafemenil.mx/cancha/informeArbitral/144872/eyJpZENsdWJsb2NhbCI6IjExNzk1IiwiaWRDbHVidmlzaXRhIjoiMTE1NDMifQ==/informe-arbitral-fc-juarez-vs-puebla-fc-jornada-1-estadio-olimpico-benito-juarez-youtube', 'text': ''}","{'type': 'link', 'href': 'https://www.ligafemenil.mx/cancha/mxm/144872/eyJpZENsdWJsb2NhbCI6IjExNzk1IiwiaWRDbHVidmlzaXRhIjoiMTE1NDMiLCJpZFBhcnRpZG8iOiIxNDQ4NzIiLCJwZXN0YW5hIjoiNCJ9/minuto-a-minuto-fc-juarez-vs-puebla-fc-jornada-1-estadio-olimpico-benito-juarez-youtube', 'text': ''}","{'type': 'link', 'href': 'https://www.ligafemenil.mx/cancha/galeria/MTQ0ODcyLzEvNzUvMi8xNA==/fc-juarez-vs-puebla-fc', 'text': ''}","{'type': 'link', 'href': 'https://www.ligafemenil.mx/cancha/playlist/144872/fc-juarez-vs-puebla-fc', 'text': ''}"
2024-2025,Clausura,"{'type': 'text', 'value': 'Lunes 6 de Enero de 2025\nTemporada 2024-2025\nTorneo Clausura\nJornada 1\n6 Enero 2025 - 19:10 hrs.'}","{'type': 'link', 'href': 'https://www.ligafemenil.mx/cancha/club/11191/america', 'text': ''}","{'type': 'link', 'href': 'https://www.ligafemenil.mx/cancha/informeArbitral/144870/eyJpZENsdWJsb2NhbCI6MTExOTEsImlkQ2x1YnZpc2l0YSI6MTExODF9/informe-arbitral-america-vs-cruz-azul-jornada-1-estadio-ciudad-de-los-deportes-lmxf-tv--vix', 'text': '2 - 1'}","{'type': 'link', 'href': 'https://www.ligafemenil.mx/cancha/club/11181/cruz-azul', 'text': ''}","{'type': 'link', 'href': 'https://www.ligafemenil.mx/cancha/estadio/2/estadio-ciudad-de-los-deportes', 'text': 'Ciudad De Los Deportes'}","{'type': 'link', 'href': 'https://www.ligafemenil.mx/cancha/mxm/144870/eyJpZENsdWJsb2NhbCI6IjExMTkxIiwiaWRDbHVidmlzaXRhIjoiMTExODEiLCJpZFBhcnRpZG8iOiIxNDQ4NzAiLCJwZXN0YW5hIjoiMSJ9/minuto-a-minuto-america-vs-cruz-azul-jornada-1-estadio-ciudad-de-los-deportes-lmxf-tv--vix', 'text': ''}","{'type': 'link', 'href': 'https://www.ligafemenil.mx/cancha/mxm/144870/eyJpZENsdWJsb2NhbCI6IjExMTkxIiwiaWRDbHVidmlzaXRhIjoiMTExODEiLCJpZFBhcnRpZG8iOiIxNDQ4NzAiLCJwZXN0YW5hIjoiMyJ9/minuto-a-minuto-america-vs-cruz-azul-jornada-1-estadio-ciudad-de-los-deportes-lmxf-tv--vix', 'text': ''}","{'type': 'link', 'href': 'https://www.ligafemenil.mx/cancha/informeArbitral/144870/eyJpZENsdWJsb2NhbCI6IjExMTkxIiwiaWRDbHVidmlzaXRhIjoiMTExODEifQ==/informe-arbitral-america-vs-cruz-azul-jornada-1-estadio-ciudad-de-los-deportes-lmxf-tv--vix', 'text': ''}","{'type': 'link', 'href': 'https://www.ligafemenil.mx/cancha/mxm/144870/eyJpZENsdWJsb2NhbCI6IjExMTkxIiwiaWRDbHVidmlzaXRhIjoiMTExODEiLCJpZFBhcnRpZG8iOiIxNDQ4NzAiLCJwZXN0YW5hIjoiNCJ9/minuto-a-minuto-america-vs-cruz-azul-jornada-1-estadio-ciudad-de-los-deportes-lmxf-tv--vix', 'text': ''}","{'type': 'link', 'href': 'https://www.ligafemenil.mx/cancha/galeria/MTQ0ODcwLzEvNzUvMi8xNA==/america-vs-cruz-azul', 'text': ''}","{'type': 'link', 'href': 'https://www.ligafemenil.mx/cancha/playlist/144870/america-vs-cruz-azul', 'text': ''}"
2024-2025,Clausura,"{'type': 'text', 'value': 'Lunes 6 de Enero de 2025\nTemporada 2024-2025\nTorneo Clausura\nJornada 1\n6 Enero 2025 - 21:06 hrs.'}","{'type': 'link', 'href': 'https://www.ligafemenil.mx/cancha/club/11186/tigres-de-la-uanl', 'text': ''}","{'type': 'link', 'href': 'https://www.ligafemenil.mx/cancha/informeArbitral/144877/eyJpZENsdWJsb2NhbCI6MTExODYsImlkQ2x1YnZpc2l0YSI6MTExODB9/informe-arbitral-tigres-de-la-uanl-vs-tijuana-jornada-1-estadio-universitario-fox-sports', 'text': '1 - 2'}","{'type': 'link', 'href': 'https://www.ligafemenil.mx/cancha/club/11180/tijuana', 'text': ''}","{'type': 'link', 'href': 'https://www.ligafemenil.mx/cancha/estadio/12/estadio-universitario', 'text': 'Universitario'}","{'type': 'link', 'href': 'https://www.ligafemenil.mx/cancha/mxm/144877/eyJpZENsdWJsb2NhbCI6IjExMTg2IiwiaWRDbHVidmlzaXRhIjoiMTExODAiLCJpZFBhcnRpZG8iOiIxNDQ4NzciLCJwZXN0YW5hIjoiMSJ9/minuto-a-minuto-tigres-de-la-uanl-vs-tijuana-jornada-1-estadio-universitario-fox-sports', 'text': ''}","{'type': 'link', 'href': 'https://www.ligafemenil.mx/cancha/mxm/144877/eyJpZENsdWJsb2NhbCI6IjExMTg2IiwiaWRDbHVidmlzaXRhIjoiMTExODAiLCJpZFBhcnRpZG8iOiIxNDQ4NzciLCJwZXN0YW5hIjoiMyJ9/minuto-a-minuto-tigres-de-la-uanl-vs-tijuana-jornada-1-estadio-universitario-fox-sports', 'text': ''}","{'type': 'link', 'href': 'https://www.ligafemenil.mx/cancha/informeArbitral/144877/eyJpZENsdWJsb2NhbCI6IjExMTg2IiwiaWRDbHVidmlzaXRhIjoiMTExODAifQ==/informe-arbitral-tigres-de-la-uanl-vs-tijuana-jornada-1-estadio-universitario-fox-sports', 'text': ''}","{'type': 'link', 'href': 'https://www.ligafemenil.mx/cancha/mxm/144877/eyJpZENsdWJsb2NhbCI6IjExMTg2IiwiaWRDbHVidmlzaXRhIjoiMTExODAiLCJpZFBhcnRpZG8iOiIxNDQ4NzciLCJwZXN0YW5hIjoiNCJ9/minuto-a-minuto-tigres-de-la-uanl-vs-tijuana-jornada-1-estadio-universitario-fox-sports', 'text': ''}","{'type': 'link', 'href': 'https://www.ligafemenil.mx/cancha/galeria/MTQ0ODc3LzEvNzUvMi8xNA==/tigres-de-la-uanl-vs-tijuana', 'text': ''}","{'type': 'link', 'href': 'https://www.ligafemenil.mx/cancha/playlist/144877/tigres-de-la-uanl-vs-tijuana', 'text': ''}"
2024-2025,Clausura,"{'type': 'text', 'value': 'Jueves 9 de Enero de 2025\nTemporada 2024-2025\nTorneo Clausura\nJornada 2\n9 Enero 2025 - 17:00 hrs.'}","{'type': 'link', 'href': 'https://www.ligafemenil.mx/cancha/club/11187/toluca', 'text': ''}","{'type': 'link', 'href': 'https://www.ligafemenil.mx/cancha/informeArbitral/144885/eyJpZENsdWJsb2NhbCI6MTExODcsImlkQ2x1YnZpc2l0YSI6MTIwNTF9/informe-arbitral-toluca-vs-mazatlan-fc-jornada-2-estadio-nemesio-diez-lmxf-tv--vix', 'text': '5 - 0'}","{'type': 'link', 'href': 'https://www.ligafemenil.mx/cancha/club/12051/mazatlan-fc', 'text': ''}","{'type': 'link', 'href': 'https://www.ligafemenil.mx/cancha/estadio/6/estadio-nemesio-diez', 'text': 'Nemesio Diez'}","{'type': 'link', 'href': 'https://www.ligafemenil.mx/cancha/mxm/144885/eyJpZENsdWJsb2NhbCI6IjExMTg3IiwiaWRDbHVidmlzaXRhIjoiMTIwNTEiLCJpZFBhcnRpZG8iOiIxNDQ4ODUiLCJwZXN0YW5hIjoiMSJ9/minuto-a-minuto-toluca-vs-mazatlan-fc-jornada-2-estadio-nemesio-diez-lmxf-tv--vix', 'text': ''}","{'type': 'link', 'href': 'https://www.ligafemenil.mx/cancha/mxm/144885/eyJpZENsdWJsb2NhbCI6IjExMTg3IiwiaWRDbHVidmlzaXRhIjoiMTIwNTEiLCJpZFBhcnRpZG8iOiIxNDQ4ODUiLCJwZXN0YW5hIjoiMyJ9/minuto-a-minuto-toluca-vs-mazatlan-fc-jornada-2-estadio-nemesio-diez-lmxf-tv--vix', 'text': ''}","{'type': 'link', 'href': 'https://www.ligafemenil.mx/cancha/informeArbitral/144885/eyJpZENsdWJsb2NhbCI6IjExMTg3IiwiaWRDbHVidmlzaXRhIjoiMTIwNTEifQ==/informe-arbitral-toluca-vs-mazatlan-fc-jornada-2-estadio-nemesio-diez-lmxf-tv--vix', 'text': ''}","{'type': 'link', 'href': 'https://www.ligafemenil.mx/cancha/mxm/144885/eyJpZENsdWJsb2NhbCI6IjExMTg3IiwiaWRDbHVidmlzaXRhIjoiMTIwNTEiLCJpZFBhcnRpZG8iOiIxNDQ4ODUiLCJwZXN0YW5hIjoiNCJ9/minuto-a-minuto-toluca-vs-mazatlan-fc-jornada-2-estadio-nemesio-diez-lmxf-tv--vix', 'text': ''}","{'type': 'link', 'href': 'https://www.ligafemenil.mx/cancha/galeria/MTQ0ODg1LzIvNzUvMi8xNA==/toluca-vs-mazatlan-fc', 'text': ''}","{'type': 'link', 'href': 'https://www.ligafemenil.mx/cancha/playlist/144885/toluca-vs-mazatlan-fc', 'text': ''}"
