Column1,Column2,Column3,Column4,Column5,Column6
2016-2017,Copa LIGA MX Femenil,  Miercoles 3 de Mayo de 2017-nTemporada 2016-2017-nTorneo Copa LIGA MX Femenil-nJornada 1-n3 Mayo 2017 - 1000 hrs,  2 - 1,  FMF Cancha 2,  80640-toluca-vs-m-morelia
2016-2017,Copa LIGA MX Femenil,  Miercoles 3 de Mayo de 2017-nTemporada 2016-2017-nTorneo Copa LIGA MX Femenil-nJornada 1-n3 Mayo 2017 - 1000 hrs,  0 - 6,  FMF Cancha 3,  80641-rayados-de-monterrey-vs-america
2016-2017,Copa LIGA MX Femenil,  Miercoles 3 de Mayo de 2017-nTemporada 2016-2017-nTorneo Copa LIGA MX Femenil-nJornada 1-n3 Mayo 2017 - 1215 hrs,  0 - 2,  FMF Cancha 1,  80642-santos-laguna-vs-necaxa
2016-2017,Copa LIGA MX Femenil,  Miercoles 3 de Mayo de 2017-nTemporada 2016-2017-nTorneo Copa LIGA MX Femenil-nJornada 1-n3 Mayo 2017 - 1215 hrs,  6 - 1,  FMF Cancha 2,  80643-pachuca-vs-guadalajara
2016-2017,Copa LIGA MX Femenil,  Miercoles 3 de Mayo de 2017-nTemporada 2016-2017-nTorneo Copa LIGA MX Femenil-nJornada 1-n3 Mayo 2017 - 1215 hrs,  4 - 1,  FMF Cancha 3,  80644-pumas-vs-tigres-de-la-uanl
2016-2017,Copa LIGA MX Femenil,  Jueves 4 de Mayo de 2017-nTemporada 2016-2017-nTorneo Copa LIGA MX Femenil-nJornada 2-n4 Mayo 2017 - 1000 hrs,  2 - 6,  FMF Cancha 1,  80645-m-morelia-vs-pachuca
2016-2017,Copa LIGA MX Femenil,  Jueves 4 de Mayo de 2017-nTemporada 2016-2017-nTorneo Copa LIGA MX Femenil-nJornada 2-n4 Mayo 2017 - 1000 hrs,  5 - 1,  FMF Cancha 2,  80646-america-vs-pumas
2016-2017,Copa LIGA MX Femenil,  Jueves 4 de Mayo de 2017-nTemporada 2016-2017-nTorneo Copa LIGA MX Femenil-nJornada 2-n4 Mayo 2017 - 1000 hrs,  0 - 3,  FMF Cancha 3,  80647-cruz-azul-vs-santos-laguna
2016-2017,Copa LIGA MX Femenil,  Jueves 4 de Mayo de 2017-nTemporada 2016-2017-nTorneo Copa LIGA MX Femenil-nJornada 2-n4 Mayo 2017 - 1215 hrs,  3 - 0,  FMF Cancha 1,  80648-toluca-vs-guadalajara
2016-2017,Copa LIGA MX Femenil,  Jueves 4 de Mayo de 2017-nTemporada 2016-2017-nTorneo Copa LIGA MX Femenil-nJornada 2-n4 Mayo 2017 - 1215 hrs,  3 - 4,  FMF Cancha 2,  80649-rayados-de-monterrey-vs-tigres-de-la-uanl
2016-2017,Copa LIGA MX Femenil,  Jueves 4 de Mayo de 2017-nTemporada 2016-2017-nTorneo Copa LIGA MX Femenil-nJornada 2-n4 Mayo 2017 - 1215 hrs,  0 - 2,  FMF Cancha 3,  80650-necaxa-vs-tijuana
2016-2017,Copa LIGA MX Femenil,  Viernes 5 de Mayo de 2017-nTemporada 2016-2017-nTorneo Copa LIGA MX Femenil-nJornada 3-n5 Mayo 2017 - 1000 hrs,  0 - 0,  FMF Cancha 1,  80651-america-vs-tigres-de-la-uanl
2016-2017,Copa LIGA MX Femenil,  Viernes 5 de Mayo de 2017-nTemporada 2016-2017-nTorneo Copa LIGA MX Femenil-nJornada 3-n5 Mayo 2017 - 1000 hrs,  0 - 1,  FMF Cancha 2,  80652-cruz-azul-vs-necaxa
2016-2017,Copa LIGA MX Femenil,  Viernes 5 de Mayo de 2017-nTemporada 2016-2017-nTorneo Copa LIGA MX Femenil-nJornada 3-n5 Mayo 2017 - 1000 hrs,  1 - 2,  FMF Cancha 3,  80653-m-morelia-vs-guadalajara
2016-2017,Copa LIGA MX Femenil,  Viernes 5 de Mayo de 2017-nTemporada 2016-2017-nTorneo Copa LIGA MX Femenil-nJornada 3-n5 Mayo 2017 - 1215 hrs,  2 - 4,  FMF Cancha 1,  80654-pumas-vs-rayados-de-monterrey
2016-2017,Copa LIGA MX Femenil,  Viernes 5 de Mayo de 2017-nTemporada 2016-2017-nTorneo Copa LIGA MX Femenil-nJornada 3-n5 Mayo 2017 - 1215 hrs,  0 - 2,  FMF Cancha 2,  80655-santos-laguna-vs-tijuana
