2016-2017,Copa LIGA MX Femenil,  Miércoles 3 de Mayo de 2017-nTemporada 2016-2017-nTorneo Copa LIGA MX Femenil-nJornada 1-n3 Mayo 2017 - 1000 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-80639-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjY3IiwiaWRUb3JuZW8iOiI2MSIsImlkQ2x1YmxvY2FsIjoxMTE4MCwiaWRDbHVidmlzaXRhIjoxMTE4MX0=-informe-arbitral-tijuana-vs-cruz-azul-jornada-1-estadio-fmf-cancha-1,  2 - 0,  https--www.ligafemenil.mx-cancha-estadio-1424-estadio-fmf-cancha-1,  FMF Cancha 1,  https--www.ligafemenil.mx-cancha-galeria-ODA2MzkvMS82Ny82MS8xNA==-tijuana-vs-cruz-azul,  ,  https--www.ligafemenil.mx-cancha-playlist-80639-tijuana-vs-cruz-azul,  
2016-2017,Copa LIGA MX Femenil,  Miércoles 3 de Mayo de 2017-nTemporada 2016-2017-nTorneo Copa LIGA MX Femenil-nJornada 1-n3 Mayo 2017 - 1000 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-80640-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjY3IiwiaWRUb3JuZW8iOiI2MSIsImlkQ2x1YmxvY2FsIjoxMTE4NywiaWRDbHVidmlzaXRhIjoxMTE4M30=-informe-arbitral-toluca-vs-m-morelia-jornada-1-estadio-fmf-cancha-2,  2 - 1,  https--www.ligafemenil.mx-cancha-estadio-1425-estadio-fmf-cancha-2,  FMF Cancha 2,  https--www.ligafemenil.mx-cancha-galeria-ODA2NDAvMS82Ny82MS8xNA==-toluca-vs-m-morelia,  ,  https--www.ligafemenil.mx-cancha-playlist-80640-toluca-vs-m-morelia,  
2016-2017,Copa LIGA MX Femenil,  Miércoles 3 de Mayo de 2017-nTemporada 2016-2017-nTorneo Copa LIGA MX Femenil-nJornada 1-n3 Mayo 2017 - 1000 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-80641-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjY3IiwiaWRUb3JuZW8iOiI2MSIsImlkQ2x1YmxvY2FsIjoxMTE4NSwiaWRDbHVidmlzaXRhIjoxMTE5MX0=-informe-arbitral-rayados-de-monterrey-vs-america-jornada-1-estadio-fmf-cancha-3,  0 - 6,  https--www.ligafemenil.mx-cancha-estadio-1427-estadio-fmf-cancha-3,  FMF Cancha 3,  https--www.ligafemenil.mx-cancha-galeria-ODA2NDEvMS82Ny82MS8xNA==-rayados-de-monterrey-vs-america,  ,  https--www.ligafemenil.mx-cancha-playlist-80641-rayados-de-monterrey-vs-america,  
2016-2017,Copa LIGA MX Femenil,  Miércoles 3 de Mayo de 2017-nTemporada 2016-2017-nTorneo Copa LIGA MX Femenil-nJornada 1-n3 Mayo 2017 - 1215 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-80642-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjY3IiwiaWRUb3JuZW8iOiI2MSIsImlkQ2x1YmxvY2FsIjoxMTE5MiwiaWRDbHVidmlzaXRhIjoxMTE4OX0=-informe-arbitral-santos-laguna-vs-necaxa-jornada-1-estadio-fmf-cancha-1,  0 - 2,  https--www.ligafemenil.mx-cancha-estadio-1424-estadio-fmf-cancha-1,  FMF Cancha 1,  https--www.ligafemenil.mx-cancha-galeria-ODA2NDIvMS82Ny82MS8xNA==-santos-laguna-vs-necaxa,  ,  https--www.ligafemenil.mx-cancha-playlist-80642-santos-laguna-vs-necaxa,  
2016-2017,Copa LIGA MX Femenil,  Miércoles 3 de Mayo de 2017-nTemporada 2016-2017-nTorneo Copa LIGA MX Femenil-nJornada 1-n3 Mayo 2017 - 1215 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-80643-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjY3IiwiaWRUb3JuZW8iOiI2MSIsImlkQ2x1YmxvY2FsIjoxMTE4NCwiaWRDbHVidmlzaXRhIjoxMTE4Mn0=-informe-arbitral-pachuca-vs-guadalajara-jornada-1-estadio-fmf-cancha-2,  6 - 1,  https--www.ligafemenil.mx-cancha-estadio-1425-estadio-fmf-cancha-2,  FMF Cancha 2,  https--www.ligafemenil.mx-cancha-galeria-ODA2NDMvMS82Ny82MS8xNA==-pachuca-vs-guadalajara,  ,  https--www.ligafemenil.mx-cancha-playlist-80643-pachuca-vs-guadalajara,  
2016-2017,Copa LIGA MX Femenil,  Miércoles 3 de Mayo de 2017-nTemporada 2016-2017-nTorneo Copa LIGA MX Femenil-nJornada 1-n3 Mayo 2017 - 1215 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-80644-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjY3IiwiaWRUb3JuZW8iOiI2MSIsImlkQ2x1YmxvY2FsIjoxMTE4OCwiaWRDbHVidmlzaXRhIjoxMTE4Nn0=-informe-arbitral-pumas-vs-tigres-de-la-uanl-jornada-1-estadio-fmf-cancha-3,  4 - 1,  https--www.ligafemenil.mx-cancha-estadio-1427-estadio-fmf-cancha-3,  FMF Cancha 3,  https--www.ligafemenil.mx-cancha-galeria-ODA2NDQvMS82Ny82MS8xNA==-pumas-vs-tigres-de-la-uanl,  ,  https--www.ligafemenil.mx-cancha-playlist-80644-pumas-vs-tigres-de-la-uanl,  
2016-2017,Copa LIGA MX Femenil,  Jueves 4 de Mayo de 2017-nTemporada 2016-2017-nTorneo Copa LIGA MX Femenil-nJornada 2-n4 Mayo 2017 - 1000 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-80645-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjY3IiwiaWRUb3JuZW8iOiI2MSIsImlkQ2x1YmxvY2FsIjoxMTE4MywiaWRDbHVidmlzaXRhIjoxMTE4NH0=-informe-arbitral-m-morelia-vs-pachuca-jornada-2-estadio-fmf-cancha-1,  2 - 6,  https--www.ligafemenil.mx-cancha-estadio-1424-estadio-fmf-cancha-1,  FMF Cancha 1,  https--www.ligafemenil.mx-cancha-galeria-ODA2NDUvMi82Ny82MS8xNA==-m-morelia-vs-pachuca,  ,  https--www.ligafemenil.mx-cancha-playlist-80645-m-morelia-vs-pachuca,  
2016-2017,Copa LIGA MX Femenil,  Jueves 4 de Mayo de 2017-nTemporada 2016-2017-nTorneo Copa LIGA MX Femenil-nJornada 2-n4 Mayo 2017 - 1000 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-80646-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjY3IiwiaWRUb3JuZW8iOiI2MSIsImlkQ2x1YmxvY2FsIjoxMTE5MSwiaWRDbHVidmlzaXRhIjoxMTE4OH0=-informe-arbitral-america-vs-pumas-jornada-2-estadio-fmf-cancha-2,  5 - 1,  https--www.ligafemenil.mx-cancha-estadio-1425-estadio-fmf-cancha-2,  FMF Cancha 2,  https--www.ligafemenil.mx-cancha-galeria-ODA2NDYvMi82Ny82MS8xNA==-america-vs-pumas,  ,  https--www.ligafemenil.mx-cancha-playlist-80646-america-vs-pumas,  
2016-2017,Copa LIGA MX Femenil,  Jueves 4 de Mayo de 2017-nTemporada 2016-2017-nTorneo Copa LIGA MX Femenil-nJornada 2-n4 Mayo 2017 - 1000 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-80647-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjY3IiwiaWRUb3JuZW8iOiI2MSIsImlkQ2x1YmxvY2FsIjoxMTE4MSwiaWRDbHVidmlzaXRhIjoxMTE5Mn0=-informe-arbitral-cruz-azul-vs-santos-laguna-jornada-2-estadio-fmf-cancha-3,  0 - 3,  https--www.ligafemenil.mx-cancha-estadio-1427-estadio-fmf-cancha-3,  FMF Cancha 3,  https--www.ligafemenil.mx-cancha-galeria-ODA2NDcvMi82Ny82MS8xNA==-cruz-azul-vs-santos-laguna,  ,  https--www.ligafemenil.mx-cancha-playlist-80647-cruz-azul-vs-santos-laguna,  
2016-2017,Copa LIGA MX Femenil,  Jueves 4 de Mayo de 2017-nTemporada 2016-2017-nTorneo Copa LIGA MX Femenil-nJornada 2-n4 Mayo 2017 - 1215 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-80648-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjY3IiwiaWRUb3JuZW8iOiI2MSIsImlkQ2x1YmxvY2FsIjoxMTE4NywiaWRDbHVidmlzaXRhIjoxMTE4Mn0=-informe-arbitral-toluca-vs-guadalajara-jornada-2-estadio-fmf-cancha-1,  3 - 0,  https--www.ligafemenil.mx-cancha-estadio-1424-estadio-fmf-cancha-1,  FMF Cancha 1,  https--www.ligafemenil.mx-cancha-galeria-ODA2NDgvMi82Ny82MS8xNA==-toluca-vs-guadalajara,  ,  https--www.ligafemenil.mx-cancha-playlist-80648-toluca-vs-guadalajara,  
2016-2017,Copa LIGA MX Femenil,  Jueves 4 de Mayo de 2017-nTemporada 2016-2017-nTorneo Copa LIGA MX Femenil-nJornada 2-n4 Mayo 2017 - 1215 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-80649-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjY3IiwiaWRUb3JuZW8iOiI2MSIsImlkQ2x1YmxvY2FsIjoxMTE4NSwiaWRDbHVidmlzaXRhIjoxMTE4Nn0=-informe-arbitral-rayados-de-monterrey-vs-tigres-de-la-uanl-jornada-2-estadio-fmf-cancha-2,  3 - 4,  https--www.ligafemenil.mx-cancha-estadio-1425-estadio-fmf-cancha-2,  FMF Cancha 2,  https--www.ligafemenil.mx-cancha-galeria-ODA2NDkvMi82Ny82MS8xNA==-rayados-de-monterrey-vs-tigres-de-la-uanl,  ,  https--www.ligafemenil.mx-cancha-playlist-80649-rayados-de-monterrey-vs-tigres-de-la-uanl,  
