2022-2023,Clausura,  Viernes 6 de Enero de 2023-nTemporada 2022-2023-nTorneo Clausura-nJornada 1-n6 Enero 2023 - 1705 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-130450-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjczIiwiaWRUb3JuZW8iOiIyIiwiaWRDbHVibG9jYWwiOjEyMDQyLCJpZENsdWJ2aXNpdGEiOjExMTg0fQ==-informe-arbitral-gallos-blancos-de-queretaro-vs-pachuca-jornada-1-estadio-olimpico-alameda-fox-sports--fox-premium,  0 - 1,  https--www.ligafemenil.mx-cancha-estadio-1741-estadio-olimpico-alameda,  Estadio Olímpico Alameda,  https--www.ligafemenil.mx-cancha-galeria-MTMwNDUwLzEvNzMvMi8xNA==-gallos-blancos-de-queretaro-vs-pachuca,  ,  https--www.ligafemenil.mx-cancha-playlist-130450-gallos-blancos-de-queretaro-vs-pachuca,  
2022-2023,Clausura,  Viernes 6 de Enero de 2023-nTemporada 2022-2023-nTorneo Clausura-nJornada 1-n6 Enero 2023 - 1906 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-130451-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjczIiwiaWRUb3JuZW8iOiIyIiwiaWRDbHVibG9jYWwiOjExMTgyLCJpZENsdWJ2aXNpdGEiOjExMTg4fQ==-informe-arbitral-guadalajara-vs-pumas-jornada-1-estadio-akron-fox-premium--chivas-tv,  5 - 1,  https--www.ligafemenil.mx-cancha-estadio-1538-estadio-akron,  Estadio AKRON,  https--www.ligafemenil.mx-cancha-galeria-MTMwNDUxLzEvNzMvMi8xNA==-guadalajara-vs-pumas,  ,  https--www.ligafemenil.mx-cancha-playlist-130451-guadalajara-vs-pumas,  
2022-2023,Clausura,  Sábado 7 de Enero de 2023-nTemporada 2022-2023-nTorneo Clausura-nJornada 1-n7 Enero 2023 - 1200 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-130452-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjczIiwiaWRUb3JuZW8iOiIyIiwiaWRDbHVibG9jYWwiOjExMTgxLCJpZENsdWJ2aXNpdGEiOjExMTkxfQ==-informe-arbitral-cruz-azul-vs-america-jornada-1-estadio-instalaciones-la-noria-vix-mxus,  1 - 1,  https--www.ligafemenil.mx-cancha-estadio-877-estadio-instalaciones-la-noria,  INSTALACIONES LA NORIA,  https--www.ligafemenil.mx-cancha-galeria-MTMwNDUyLzEvNzMvMi8xNA==-cruz-azul-vs-america,  ,  https--www.ligafemenil.mx-cancha-playlist-130452-cruz-azul-vs-america,  
2022-2023,Clausura,  Domingo 8 de Enero de 2023-nTemporada 2022-2023-nTorneo Clausura-nJornada 1-n8 Enero 2023 - 1200 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-130455-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjczIiwiaWRUb3JuZW8iOiIyIiwiaWRDbHVibG9jYWwiOjExNTQzLCJpZENsdWJ2aXNpdGEiOjExMTg1fQ==-informe-arbitral-puebla-fc-vs-rayados-de-monterrey-jornada-1-estadio-cuauhtemoc-azteca-digital,  0 - 2,  https--www.ligafemenil.mx-cancha-estadio-9-estadio-cuauhtemoc,  Cuauhtémoc,  https--www.ligafemenil.mx-cancha-galeria-MTMwNDU1LzEvNzMvMi8xNA==-puebla-fc-vs-rayados-de-monterrey,  ,  https--www.ligafemenil.mx-cancha-playlist-130455-puebla-fc-vs-rayados-de-monterrey,  
2022-2023,Clausura,  Domingo 8 de Enero de 2023-nTemporada 2022-2023-nTorneo Clausura-nJornada 1-n8 Enero 2023 - 1600 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-130457-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjczIiwiaWRUb3JuZW8iOiIyIiwiaWRDbHVibG9jYWwiOjExNzk1LCJpZENsdWJ2aXNpdGEiOjEyMDUxfQ==-informe-arbitral-fc-juarez-vs-mazatlan-fc-jornada-1-estadio-olimpico-benito-juarez-fox-sports,  7 - 0,  https--www.ligafemenil.mx-cancha-estadio-17-estadio-olimpico-benito-juarez,  Olímpico Benito Juárez,  https--www.ligafemenil.mx-cancha-galeria-MTMwNDU3LzEvNzMvMi8xNA==-fc-juarez-vs-mazatlan-fc,  ,  https--www.ligafemenil.mx-cancha-playlist-130457-fc-juarez-vs-mazatlan-fc,  
2022-2023,Clausura,  Lunes 9 de Enero de 2023-nTemporada 2022-2023-nTorneo Clausura-nJornada 1-n9 Enero 2023 - 1700 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-130460-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjczIiwiaWRUb3JuZW8iOiIyIiwiaWRDbHVibG9jYWwiOjExMTg3LCJpZENsdWJ2aXNpdGEiOjExMTgwfQ==-informe-arbitral-toluca-vs-tijuana-jornada-1-estadio-nemesio-diez-vixzonamx--vixus,  0 - 1,  https--www.ligafemenil.mx-cancha-estadio-6-estadio-nemesio-diez,  Nemesio Diez,  https--www.ligafemenil.mx-cancha-galeria-MTMwNDYwLzEvNzMvMi8xNA==-toluca-vs-tijuana,  ,  https--www.ligafemenil.mx-cancha-playlist-130460-toluca-vs-tijuana,  
2022-2023,Clausura,  Lunes 9 de Enero de 2023-nTemporada 2022-2023-nTorneo Clausura-nJornada 1-n9 Enero 2023 - 1705 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-130462-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjczIiwiaWRUb3JuZW8iOiIyIiwiaWRDbHVibG9jYWwiOjExMjQzLCJpZENsdWJ2aXNpdGEiOjExMTg5fQ==-informe-arbitral-leon-vs-necaxa-jornada-1-estadio-nou-camp-fox-sports--fox-premium,  2 - 0,  https--www.ligafemenil.mx-cancha-estadio-23-estadio-nou-camp,  Nou Camp,  https--www.ligafemenil.mx-cancha-galeria-MTMwNDYyLzEvNzMvMi8xNA==-leon-vs-necaxa,  ,  https--www.ligafemenil.mx-cancha-playlist-130462-leon-vs-necaxa,  
2022-2023,Clausura,  Lunes 9 de Enero de 2023-nTemporada 2022-2023-nTorneo Clausura-nJornada 1-n9 Enero 2023 - 1900 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-130465-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjczIiwiaWRUb3JuZW8iOiIyIiwiaWRDbHVibG9jYWwiOjExMTg2LCJpZENsdWJ2aXNpdGEiOjExMjQ1fQ==-informe-arbitral-tigres-de-la-uanl-vs-atlas-jornada-1-estadio-universitario-vixzonamxus,  6 - 0,  https--www.ligafemenil.mx-cancha-estadio-12-estadio-universitario,  Universitario,  https--www.ligafemenil.mx-cancha-galeria-MTMwNDY1LzEvNzMvMi8xNA==-tigres-de-la-uanl-vs-atlas,  ,  https--www.ligafemenil.mx-cancha-playlist-130465-tigres-de-la-uanl-vs-atlas,  
2022-2023,Clausura,  Lunes 9 de Enero de 2023-nTemporada 2022-2023-nTorneo Clausura-nJornada 1-n9 Enero 2023 - 1906 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-130469-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjczIiwiaWRUb3JuZW8iOiIyIiwiaWRDbHVibG9jYWwiOjExMTkyLCJpZENsdWJ2aXNpdGEiOjExNzc4fQ==-informe-arbitral-santos-laguna-vs-club-atletico-de-san-luis-jornada-1-estadio-tsm-corona-fox-sports--fox-premium,  2 - 0,  https--www.ligafemenil.mx-cancha-estadio-63-estadio-tsm-corona,  TSM Corona,  https--www.ligafemenil.mx-cancha-galeria-MTMwNDY5LzEvNzMvMi8xNA==-santos-laguna-vs-club-atletico-de-san-luis,  ,  https--www.ligafemenil.mx-cancha-playlist-130469-santos-laguna-vs-club-atletico-de-san-luis,  
2022-2023,Clausura,  Viernes 13 de Enero de 2023-nTemporada 2022-2023-nTorneo Clausura-nJornada 2-n13 Enero 2023 - 1705 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-130493-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjczIiwiaWRUb3JuZW8iOiIyIiwiaWRDbHVibG9jYWwiOjEyMDQyLCJpZENsdWJ2aXNpdGEiOjExNzk1fQ==-informe-arbitral-gallos-blancos-de-queretaro-vs-fc-juarez-jornada-2-estadio-olimpico-alameda-fox-sports--fox-premium,  0 - 1,  https--www.ligafemenil.mx-cancha-estadio-1741-estadio-olimpico-alameda,  Estadio Olímpico Alameda,  https--www.ligafemenil.mx-cancha-galeria-MTMwNDkzLzIvNzMvMi8xNA==-gallos-blancos-de-queretaro-vs-fc-juarez,  ,  https--www.ligafemenil.mx-cancha-playlist-130493-gallos-blancos-de-queretaro-vs-fc-juarez,  
2022-2023,Clausura,  Sábado 14 de Enero de 2023-nTemporada 2022-2023-nTorneo Clausura-nJornada 2-n14 Enero 2023 - 1200 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-130495-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjczIiwiaWRUb3JuZW8iOiIyIiwiaWRDbHVibG9jYWwiOjExMTg4LCJpZENsdWJ2aXNpdGEiOjExMTg2fQ==-informe-arbitral-pumas-vs-tigres-de-la-uanl-jornada-2-estadio-olimpico-universitario-vix-mxus,  1 - 3,  https--www.ligafemenil.mx-cancha-estadio-7-estadio-olimpico-universitario,  Olímpico Universitario,  https--www.ligafemenil.mx-cancha-galeria-MTMwNDk1LzIvNzMvMi8xNA==-pumas-vs-tigres-de-la-uanl,  ,  https--www.ligafemenil.mx-cancha-playlist-130495-pumas-vs-tigres-de-la-uanl,  
