Temporada,Torneo,N/A,N/A,N/A,N/A
2016-2017,Copa LIGA MX Femenil,N/A,N/A,N/A,N/A
2016-2017,Copa LIGA MX Femenil,N/A,N/A,N/A,N/A
2016-2017,Copa LIGA MX Femenil,N/A,N/A,N/A,N/A
2016-2017,Copa LIGA MX Femenil,N/A,N/A,N/A,N/A
2016-2017,Copa LIGA MX Femenil,N/A,N/A,N/A,N/A
2016-2017,Copa LIGA MX Femenil,N/A,N/A,N/A,N/A
2016-2017,Copa LIGA MX Femenil,N/A,N/A,N/A,N/A
2016-2017,Copa LIGA MX Femenil,N/A,N/A,N/A,N/A
2016-2017,Copa LIGA MX Femenil,N/A,N/A,N/A,N/A
2016-2017,Copa LIGA MX Femenil,N/A,N/A,N/A,N/A
2016-2017,Copa LIGA MX Femenil,N/A,N/A,N/A,N/A
2016-2017,Copa LIGA MX Femenil,N/A,N/A,N/A,N/A
2016-2017,Copa LIGA MX Femenil,N/A,N/A,N/A,N/A
2016-2017,Copa LIGA MX Femenil,N/A,N/A,N/A,N/A
2016-2017,Copa LIGA MX Femenil,N/A,N/A,N/A,N/A
2016-2017,Copa LIGA MX Femenil,N/A,N/A,N/A,N/A
2016-2017,Copa LIGA MX Femenil,N/A,N/A,N/A,N/A
2016-2017,Copa LIGA MX Femenil,N/A,N/A,N/A,N/A
2016-2017,Copa LIGA MX Femenil,N/A,N/A,N/A,N/A
