IDAFLDDRVD,NUI,NOMBRE,TA,TA_REGLAMENTO,TR,TRPC
162775,155338,Maricarmen Reyes Zárate,6,0,0,0
158635,152045,Anika Elia Rodríguez ,5,1,0,0
125419,124052,Lizbeth Jacqueline Ovalle Muñoz,4,0,0,0
172068,163644,Jimena López Fuentes,3,1,0,0
172191,163687,Ana Rita Da Silva Seiça,3,2,0,0
176959,165553,Ana Inés Costa Mendes Días,3,1,0,0
124923,123635,Alexia Fernanda Delgado Alvarado,2,1,0,0
132132,130265,Cristina Del Carmen Ferral Montalván,2,0,1,0
170563,162255,Chrestinah Thembi Kgatlana ,2,1,0,0
124796,123660,Andrea Hernández Buenosaires,1,0,0,0
124865,123637,Aurora Cecilia Santiago Cisneros,1,1,0,0
124875,123628,Belén De Jesús Cruz Arzate,1,0,0,0
125914,124467,Lydia Nayeli Rangel Hernández,1,1,0,0
130271,128370,Alison Hecnary González Esquivel,1,0,0,0
158539,151994,Milagros Martínez Domínguez,1,1,0,0
159976,152131,Jennifer Hermoso Fuentes,1,1,0,0
164092,157565,Mario Ibáñez Mancebo,1,1,0,0
